Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVIDunavailable9,Public Services During COVIDunavailable9,Electronic Materials Added Due to COVIDunavailable9,Electronic Library Cards Issued Before COVIDunavailable9,Electronic Library Cards Issued During COVIDunavailable9,Reference Service During COVIDunavailable9,Outside Service During COVIDunavailable9,Live Virtual Programs During COVIDunavailable9,Recordings of Program Content During COVIDunavailable9,External WiFi Access Before COVIDunavailable9,External WiFi Access Added During COVIDunavailable9,External WiFi Access Increased During COVIDunavailable9,Staff Re-Assigned During COVIDunavailable9,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs (calculated),"# of Children's Programs - Live, In-person","# of Children's Programs - Live, Virtual",Children's Program Attendance,"Children's Program Attendance - Live, In-person","Children's Program Attendance - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,FSCS ID,Fiscal Year
NAPA COUNTY LIBRARY,Napa,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,NorthNet Library System,580 COOMBS ST.,NAPA,94559,3396,(707) 253-4241,(707) 253-4235,https://www.countyofnapa.org/library/,787,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"133,015","64,510","22,837",1,3,0,4,"47,110","$10,355,210 ","$110,647 ","$6,671 ","$740,667 ","$11,213,195 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,021,243 ","$1,871,404 ","$5,892,647 ","$264,200 ","$27,800 ","$292,000 ","$224,528 ","$93,385 ","$609,913 ","$1,976,628 ","$8,479,188 ",$0 ,95,12.5,12.5,41,53.5,3.14,"56,507","74,903","153,185","491,597","11,419","406,605","22,380","17,858",33,3,36,536,"7,600","406,350",Annual Count,"46,097",Annual Count,"725,143","312,229","42,273","145,918","1,262","147,180","871,061","872,323","11,013","17,656",741,,,"22,236",,,84,,,492,,,336,,,"3,969",,,0,0,"1,161","26,697",unavailable,unavailable,unavailable,No,"57,094","150,643","43,469",111,CA0077,19-20
NATIONAL CITY PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1401 NATIONAL CITY BLVD.,NATIONAL CITY,91950,3314,(619) 470-5800,(619) 470-5830,http://www.nationalcityca.gov/government/library,9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"62,099","27,484","4,216",1,0,0,1,"49,508","$2,008,542 ","$46,880 ","$50,610 ","$46,919 ","$2,152,951 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$846,930 ","$318,365 ","$1,165,295 ","$101,224 ","$6,000 ","$107,224 ","$48,150 ","$1,704 ","$157,078 ","$839,256 ","$2,161,629 ",$0 ,37,5.35,5.95,14.75,20.7,2.35,"81,039","7,752","204,284","543,551","5,063","379,869","24,676","17,376",31,4,35,101,"1,638","107,228",Annual Count,"48,609",Annual Count,"68,061","24,756","4,451","5,792","12,849","18,641","73,853","86,702",0,0,190,190,0,"4,871","4,871",0,87,87,0,"1,163","1,163",0,"1,003",929,74,"6,731","6,657",74,14,82,"1,280","12,765",0,0,0,Yes,"32,611","80,109","13,028",123,CA0078,19-20
NEVADA COUNTY LIBRARY,Nevada,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,980 HELLING WAY,NEVADA CITY,95959,8619,(530) 265-1407,(530) 265-7050,http://mynevadacounty.com/library,978,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"98,114","48,647","15,319",1,5,0,6,"37,388","$5,311,397 ","$60,337 ","$58,000 ","$148,002 ","$5,577,736 ",$0 ,"$21,446 ","$10,157 ",$0 ,"$31,603 ","$1,481,222 ","$1,088,068 ","$2,569,290 ","$115,308 ","$12,954 ","$128,262 ","$61,167 ",$0 ,"$189,429 ","$1,651,637 ","$4,410,356 ","$62,821 ",34,5,8,26,34,1.5,"45,137","7,243","113,720","80,711","4,640","22,000","15,826","10,000",8,4,12,170,"7,131","164,374",Annual Count,unavailable,unavailable,"591,874",unavailable,unavailable,"109,618","1,701","111,319","701,492","703,193",214,490,672,653,19,"12,958","12,594",364,163,163,0,668,668,0,678,649,29,"3,857","3,779",78,25,"5,119","1,513","17,483",155,"16,503",unavailable,Yes,unavailable,unavailable,unavailable,91,CA0079,19-20
NEWPORT BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,1000 AVOCADO AVE.,NEWPORT BEACH,92660,7915,(949) 717-3800,(949) 717-3860,http://www.newportbeachlibrary.org,51,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,"85,780","109,904","7,087",1,3,0,4,"96,106","$9,265,651 ","$41,874 ",$0 ,"$442,035 ","$9,749,560 ","$1,254,819 ",$0 ,$0 ,$0 ,"$1,254,819 ","$3,579,469 ","$2,335,578 ","$5,915,047 ","$302,490 ","$37,282 ","$339,772 ","$425,889 ","$88,292 ","$853,953 ","$1,852,812 ","$8,621,812 ","$705,344 ",74,16,16,39.94,55.94,3.98,"82,829","6,202","224,863","24,031","20,901","9,386","34,399","24,201",35,2,37,379,"8,598","625,998",Annual Count,"131,445",Annual Count,"878,128","412,083","14,973","206,078","1,092,923","1,299,001","1,084,206","2,177,129",356,84,647,647,0,"30,769","30,769",0,17,17,0,263,263,0,478,390,88,"27,601","26,760",841,4,"1,523","1,142","58,633",167,"11,780",0,Yes,"52,402","524,848","174,478",115,CA0080,19-20
OAKLAND PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,125 14TH ST.,OAKLAND,94612,4310,(510) 238-3281,(510) 238-3138,http://oaklandlibrary.org,53,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"433,697","389,016","79,305",1,17,0,18,"207,510","$42,246,975 ","$74,203 ",$0 ,"$298,664 ","$42,619,842 ","$1,475,000 ",$0 ,$0 ,$0 ,"$1,475,000 ","$17,668,699 ","$11,541,009 ","$29,209,708 ","$1,122,255 ","$156,377 ","$1,278,632 ","$939,581 ","$264,042 ","$2,482,255 ","$6,663,370 ","$38,355,333 ","$255,700 ",354,94.4,94.4,167.94,262.34,9.86,"342,185","39,100","903,826","574,334","49,233","410,815","89,506","18,402",50,4,54,"5,387","32,283","1,499,772",Annual Count,"244,612",Annual Estimate Based on Typical Week(s),"2,380,197","1,298,363","197,311","490,869","231,775","722,644","2,871,066","3,102,841","14,584","20,343","2,166","2,124",42,"93,683","65,744","27,939","1,362","1,337",25,"18,100","17,913",187,"1,021",996,25,"15,611","15,366",245,417,"13,980","4,549","127,394",127,"11,144","6,334",No,"168,467","1,947,657","217,604",284,CA0081,19-20
OCEANSIDE PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,330 N. COAST HIGHWAY,OCEANSIDE,92054,2824,(760) 435-5560,(760) 435-5600,http://www.oceansidepubliclibrary.org,44,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"177,335","99,506","27,265",1,2,2,5,"45,548","$5,779,620 ","$60,410 ",$0 ,"$141,056 ","$5,981,086 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,268,404 ","$928,913 ","$3,197,317 ","$210,704 ","$12,200 ","$222,904 ","$105,183 ","$26,300 ","$354,387 ","$2,419,382 ","$5,971,086 ",$0 ,59,11.63,11.63,27.73,39.36,7.43,"87,348","14,992","188,656","461,962","7,056","120,957","10,222","17,348",8,0,8,103,unavailable,"321,109",Annual Count,"18,030",Annual Count,"256,277","121,548","7,051","27,764","5,287","33,051","284,041","289,328","3,010","5,892",782,774,8,"26,919","26,855",64,130,113,17,"1,982","1,857",125,341,311,30,"3,376","3,190",186,45,"3,813","1,253","32,277",140,"1,729",956,Yes,"61,812","12,684",unavailable,67,CA0082,19-20
ONTARIO CITY LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,215 EAST C STREET,ONTARIO,91764,4111,(909) 395-2216,(909) 395-2205,http://www.ontariocitylibrary.org,50,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"182,871","115,525","10,897",1,1,0,2,"72,800","$5,157,575 ","$71,000 ",$0 ,$0 ,"$5,228,575 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,787,463 ","$995,036 ","$3,782,499 ","$247,400 ","$16,300 ","$263,700 ","$87,000 ","$54,600 ","$405,300 ","$963,776 ","$5,151,575 ",$0 ,68,14,17,33,50,1.87,"91,540","24,544","224,146","21,271","7,969",893,"24,151",0,6,2,8,142,"3,996","335,591",Annual Count,"44,263",Annual Count,"378,309","216,189","18,360","44,160","219,089","263,249","422,469","641,558",606,102,315,314,1,"13,296","13,255",41,196,196,0,"2,237","2,237",0,141,141,0,"1,757","1,757",0,31,"2,180",652,"17,290",109,"68,219",unavailable,Yes,"41,048",unavailable,unavailable,77,CA0083,19-20
ORANGE COUNTY PUBLIC LIBRARIES,Orange,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Santiago,1501 E. ST. ANDREW PLACE,SANTA ANA,92705,4930,(714) 566-3000,(714) 566-3000,http://www.ocpl.org/,556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"1,636,557","494,011","83,408",0,32,0,32,"396,080","$60,657,040 ","$420,457 ","$18,200 ","$2,147,610 ","$63,243,307 ",$0 ,$0 ,$0 ,"$243,427 ","$243,427 ","$19,097,392 ","$9,608,045 ","$28,705,437 ","$3,358,615 ","$188,525 ","$3,547,140 ","$1,615,136 ","$939,622 ","$6,101,898 ","$19,053,392 ","$53,860,727 ","$93,707 ",384,116,116,222.63,338.63,38,"682,703","70,519","1,296,079","239,232","65,246","74,694","115,768","11,793",37,3,40,"2,786","59,281","3,901,823",Annual Count,"446,599",Annual Count,"5,688,285","3,507,404","250,871","1,236,719","769,918","2,006,637","6,925,004","7,694,922",427,"4,192","7,866","7,866",0,"309,493","309,493",0,"1,199","1,194",5,"19,715","19,681",34,"2,836","2,733",103,"32,766","31,875",891,371,"23,153","11,901","361,974",unavailable,"79,073",unavailable,Yes,"311,788","1,518,914","848,388",615,CA0084,19-20
ORANGE PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,407 E CHAPMAN AVE,ORANGE,92866,1594,(714) 288-2471,(714) 288-2410,http://www.cityoforange.org/library,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,"140,065","60,209","7,306",1,2,0,3,"62,261","$5,747,998 ","$168,820 ",$0 ,"$108,029 ","$6,024,847 ","$10,000 ","$3,556 ",$0 ,"$39,613 ","$53,169 ","$2,313,121 ","$1,288,753 ","$3,601,874 ","$99,385 ","$6,420 ","$105,805 ","$74,325 ","$28,276 ","$208,406 ","$1,294,248 ","$5,104,528 ","$133,468 ",55,13,13,27.45,40.45,5.49,"73,418","10,199","149,735","3,564","12,936","9,089","19,518","67,745",9,2,11,102,"4,108","339,659",Annual Count,"19,399",Annual Count,"292,665","172,223","7,948","113,864","220,204","334,068","406,529","626,733",17,260,312,0,,"16,736",,,54,,,246,,,88,,,"1,492",,,56,"1,313",454,"18,474",20,"1,233",0,Yes,"54,454","157,726","155,541",92,CA0085,19-20
ORLAND FREE LIBRARY,Glenn,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,333 MILL ST.,ORLAND,95963,1788,(530) 865-1640,-1,http://www.orlandfreelibrary.net,660,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,"15,757","10,799","1,215",1,0,0,1,"5,160","$434,367 ",$0 ,"$15,000 ",$0 ,"$449,367 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$264,155 ","$177,531 ","$441,686 ","$8,000 ",$0 ,"$8,000 ","$5,000 ",$0 ,"$13,000 ","$54,600 ","$509,286 ",$0 ,8,1,1,4,5,1,"12,339","1,679","41,886","34,576","1,143","13,338","4,129",194,0,0,0,32,"1,640","20,925",Annual Count,unavailable,unavailable,"30,128","10,981",633,"3,196",unavailable,unavailable,"33,324",unavailable,45,105,161,161,0,"5,547","5,547",0,0,0,0,0,0,0,2,2,0,24,24,0,5,unavailable,163,"5,571",0,0,0,Yes,"3,235","5,255",unavailable,7,CA0086,19-20
OXNARD PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,251 SOUTH A ST.,OXNARD,93030,5750,(805) 385-7500,(805) 385-7532,www.oxnard.org/library,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"206,352","93,644","25,337",1,2,0,3,"95,612","$3,415,042 ",$0 ,$0 ,$0 ,"$3,415,042 ",$0 ,$0 ,$0 ,"$27,000 ","$27,000 ","$1,408,042 ","$1,015,683 ","$2,423,725 ","$67,891 ","$11,978 ","$79,869 ","$60,611 ","$3,733 ","$144,213 ","$775,259 ","$3,343,197 ",$0 ,32,11,11,15,26,0.04,"128,144","16,732","331,204","626,318","17,995","396,497","17,202","16,932",6,4,10,238,"4,644","251,093",Annual Count,"30,404",Annual Count,"155,804","88,063","14,020","13,761","1,709","15,470","169,565","171,274",164,152,256,249,7,"5,179","5,060",119,106,95,11,495,474,21,23,19,4,432,322,110,7,706,385,"6,106",31,"2,493",203,Yes,"53,348","146,201","77,641",79,CA0087,19-20
PACIFIC GROVE PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,550 CENTRAL AVE.,PACIFIC GROVE,93950,2789,(831) 648-5760,(831) 648-5762,http://www.pacificgrovelibrary.org,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"15,265","18,095","3,420",1,0,0,1,"12,593","$1,226,417 ",$0 ,$0 ,"$38,000 ","$1,264,417 ",$0 ,$0 ,$0 ,"$62,000 ","$62,000 ","$678,250 ","$252,519 ","$930,769 ","$51,296 ","$6,974 ","$58,270 ","$19,429 ","$8,501 ","$86,200 ","$173,420 ","$1,190,389 ","$2,826,213 ",3,2,2,1,3,0,"15,015","2,406","45,059","13,101","1,718","7,245","4,694",0,27,4,31,102,"1,750","78,591",Annual Count,"19,336",Annual Count,"188,000","29,747",unavailable,"16,251","5,527","21,778","204,251","209,778",0,0,113,112,1,"4,831","4,826",5,0,0,0,0,0,0,90,90,0,499,499,0,81,"1,003",203,"5,330",70,"1,265",0,No,"6,301",unavailable,unavailable,8,CA0088,19-20
PALM SPRINGS PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 S. SUNRISE WAY,PALM SPRINGS,92262,7699,(760) 322-7323,(760) 322-7323,http://www.palmspringslibrary.org,106,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,"47,427","26,516","2,276",1,1,0,2,"38,400","$2,528,752 ","$5,119 ",$0 ,$0 ,"$2,533,871 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$999,240 ","$785,371 ","$1,784,611 ","$94,625 ","$15,450 ","$110,075 ","$98,766 ","$45,523 ","$254,364 ","$494,896 ","$2,533,871 ",$0 ,19,5.5,6.5,7.9,14.4,1.15,"18,988","3,941","96,286","97,342","8,852","2,813","24,603","69,252",12,4,16,152,"4,694","163,053",Annual Count,"10,538",Annual Count,"324,673","53,497","3,745","46,117","31,468","77,585","370,790","402,258",564,519,92,,,"3,919",,,38,,,360,,,68,,,"1,664",,,53,unavailable,198,"5,943",24,967,0,Yes,"42,261","97,255","25,210",46,CA0090,19-20
PALMDALE CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,700 E. PALMDALE BLVD.,PALMDALE,93550,4742,(661) 267-5600,(661) 267-5600,http://www.cityofpalmdale.org/library,103,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,"156,737","48,645","9,128",1,0,1,2,"12,787","$1,350,631 ",$0 ,"$28,000 ","$70,900 ","$1,449,531 ","$23,598 ",$0 ,$0 ,$0 ,"$23,598 ",$0 ,$0 ,$0 ,"$76,827 ","$5,343 ","$82,170 ","$97,696 ","$25,482 ","$205,348 ","$1,244,183 ","$1,449,531 ","$23,598 ",16,3.5,3.5,8.75,12.25,0.52,"30,260","6,098","64,068","624,310","4,492","539,457","3,290","40,024",9,2,11,61,unavailable,"122,488",Annual Count,"30,179",Annual Count,"170,808","89,418","8,737","3,662","2,604","6,266","174,470","177,074","9,739","4,324",262,0,0,"9,798",0,0,17,0,0,111,0,0,97,0,0,701,0,0,23,"5,749",376,"10,610",88,"3,467",0,Yes,"19,984","44,301","30,654",28,CA0089,19-20
PALO ALTO CITY LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,270 FOREST AVE,PALO ALTO,94301,2512,(650) 329-2516,(650) 329-2436,http://www.cityofpaloalto.org/library/,26,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,"69,226","66,530","13,394",0,5,0,5,"88,089","$10,314,028 ","$8,723 ",$0 ,"$203,724 ","$10,526,475 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,624,038 ","$3,285,968 ","$7,910,006 ","$323,931 ","$26,884 ","$350,815 ","$416,030 ","$111,866 ","$878,711 ","$1,599,419 ","$10,388,136 ",$0 ,93,26.05,28.05,33.23,61.28,0.97,"101,068","12,648","249,455","170,222","13,925","37,480","33,538","9,542",55,3,58,259,"9,360","663,761",Annual Count,"12,480",Annual Estimate Based on Typical Week(s),"1,048,676","607,205","56,687","145,997","473,641","619,638","1,194,673","1,668,314","10,266","7,786",437,433,4,"22,172","22,132",40,211,197,14,"4,937","4,724",213,317,304,13,"3,652","3,515",137,45,"2,380",965,"30,761",47,"3,387",0,No,"80,044","711,141","266,452",138,CA0091,19-20
PALO VERDE VALLEY LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 W. CHANSLORWAY,BLYTHE,92225,1245,(760) 922-5371,(760) 922-5371,http://www.blythelibrary.org,"1,003.00",Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,"23,281","12,065","3,385",1,0,0,1,"6,199","$357,261 ",$0 ,$0 ,"$13,462 ","$370,723 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$185,759 ","$83,847 ","$269,606 ","$6,392 ",$0 ,"$6,392 ",$0 ,$500 ,"$6,892 ","$70,573 ","$347,071 ",$0 ,5,0,1,4,5,0.4,"14,837","2,326","41,196",0,982,0,"1,292",0,0,1,1,0,"1,388","41,686",Annual Count,"4,621",Annual Count,"45,112","26,795",149,0,unavailable,unavailable,"45,112",unavailable,0,0,24,,,524,,,0,,,0,,,6,,,55,,,0,0,30,579,0,0,0,No,"4,699","2,080",938,13,CA0093,19-20
PALOS VERDES LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (exactly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,701 SILVER SPUR RD.,ROLLING HILLS ESTATE,90274,3603,(310) 377-9584,(310) 377-9584,http://www.pvld.org,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"67,465","57,613","20,430",1,3,0,4,"114,500","$8,985,223 ",$0 ,$963 ,"$912,900 ","$9,899,086 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,186,419 ","$1,667,717 ","$6,854,136 ","$192,688 ","$28,196 ","$220,884 ","$260,593 ","$20,497 ","$501,974 ","$1,454,153 ","$8,810,263 ","$194,337 ",93,16,19,39,58,20,"63,565","5,001","220,134","304,981","10,401","65,400","19,834","33,300",36,4,40,465,"6,142","468,167",Annual Count,"29,846",Annual Count,"707,629","333,695","17,968","110,868","37,702","148,570","818,497","856,199",482,218,518,518,0,"23,686","23,686",0,68,67,1,"1,444","1,429",15,245,229,16,"5,895","5,246",649,46,955,831,"31,025",23,"4,182",0,Yes,"28,939","365,719","89,133",48,CA0092,19-20
PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,285 E. WALNUT ST.,PASADENA,91101,1598,(626) 744-4066,(626) 744-4066,http://cityofpasadena.net/library,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"144,842","349,152","71,386",1,9,0,10,"179,336","$14,706,093 ","$39,500 ","$262,800 ","$130,303 ","$15,138,696 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,019,795 ","$3,548,141 ","$8,567,936 ","$524,947 ","$52,615 ","$577,562 ","$425,988 ","$79,531 ","$1,083,081 ","$3,810,666 ","$13,461,683 ",$0 ,141,25.5,25.5,78.06,103.56,1.4,"194,972","15,077","515,337","441,898","10,432","364,490","23,342","17,072",28,3,31,834,"18,167","619,152",Annual Count,"102,094",Annual Estimate Based on Typical Week(s),"869,760","422,504","22,763","130,349","615,327","745,676","1,000,109","1,615,436","19,591","41,089","2,370","1,224","1,146","25,597","23,587","2,010",132,102,30,"2,347","1,766",581,665,616,49,"18,776","18,168",608,54,"5,913","3,167","46,720",unavailable,unavailable,unavailable,No,"82,724","652,078","169,494",156,CA0094,19-20
PASO ROBLES CITY LIBRARY,San Luis Obispo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,1000 SPRING ST.,PASO ROBLES,93446,2599,(805) 237-3870,(805) 237-3870,http://www.prcity.com/library,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"31,221","19,901","2,130",1,1,0,2,"20,607","$1,153,655 ",$0 ,$0 ,"$10,970 ","$1,164,625 ","$25,863 ",$0 ,$0 ,$0 ,"$25,863 ","$638,140 ","$320,545 ","$958,685 ","$33,562 ","$3,091 ","$36,653 ","$28,937 ","$3,581 ","$69,171 ","$125,343 ","$1,153,199 ",$0 ,15,3,3,6.8,9.8,4.25,"21,640","1,924","54,688","3,111","3,588","4,412","4,571","1,178",9,3,12,65,"2,385","109,547",Annual Count,"11,420",Annual Count,"195,456","85,164","10,977","49,457","16,159","65,616","244,913","261,072","22,578","20,472",349,321,28,"6,514","6,167",347,1,1,0,7,7,0,74,69,5,792,757,35,12,523,424,"7,313",60,703,291,Yes,"15,603","33,459","9,948",18,CA0095,19-20
PLACENTIA LIBRARY DISTRICT,Orange,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Santiago,411 E. CHAPMAN AVE.,PLACENTIA,92870,6198,(714) 528-1925,(714) 528-1906,https://www.placentialibrary.org,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"51,494","53,723","13,884",1,0,0,1,"22,800","$2,913,549 ","$45,465 ","$12,864 ","$307,815 ","$3,279,693 ",$0 ,$0 ,$0 ,"$230,485 ","$230,485 ","$1,656,683 ","$371,010 ","$2,027,693 ","$108,351 ","$2,418 ","$110,769 ","$147,036 ","$16,178 ","$273,983 ","$607,588 ","$2,909,264 ","$1,638,291 ",26,9.5,10.5,11.13,21.63,3,"35,161","5,360","69,572","531,266","2,183","363,101","6,936","40,588",16,0,16,30,"2,304","130,628",Annual Count,"19,697",Annual Count,"101,910","60,506","2,584","44,909","42,664","87,573","146,819","189,483",54,384,327,271,56,"49,921","8,957","40,964",43,21,22,736,588,148,137,94,43,"5,977","1,522","4,455",0,0,507,"56,634",20,"12,741","2,636",Yes,"11,952","103,439","21,328",34,CA0096,19-20
