Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Number of kiosks,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Total Staff FTE,Total number of volunteers (count heads),Total hours volunteered in the reporting year,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,"Do you loan internet enabled devices? (Laptops, Chromebooks, etc.)",How many devices available for check-out and use outside the library?,Do you lend hot spots?,How many hot spots available for check-out and use outside the library?,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,Total Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded as of June 30,Electronic Collections State Funded,# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge any patrons late fines for physical materials?,Charge per day for Adults,For Young Adults,For Children,Physical Item Circulation,Circulation of Children's Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,"Circulation of internet-enabled devices (laptops, Chromebooks, etc)",Circulation of hotspots,Circulation of Other Physical Items,Circulation of Electronic Materials,Successful Retrieval of State-funded Electronic information (autofilled),Successful Retrieval of locally-funded electronic information,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Program Attendance,of Children's Programs (calculated),Program Attendance,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of General Interest Programs (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Virtual Visits to the library website,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,ILS System (choose from dropdown or enter other),# of self-directed activities,# of participants,Brief description of activities,FSCS ID,Year
NEWPORT BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,1000 AVOCADO AVE.,NEWPORT BEACH,92660,7915,(949) 717-3800,(949) 717-3860,http://www.newportbeachlibrary.org,51,Yes,Yes,Yes,Yes,No,No,No,Yes,"83,727","118,379","6,527",1,3,0,4,0,"96,106","$9,553,841 ","$44,769 ",$0 ,"$300,206 ","$9,898,816 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,575,109 ","$2,239,744 ","$5,814,853 ","$309,582 ","$33,960 ","$343,542 ","$383,348 ","$48,259 ","$775,149 ","$2,963,839 ","$9,553,841 ",$0 ,68,15,15,35.15,50.15,287,"9,504.00","75,826","6,294","220,531","20,023","33,359",No,0,Yes,4,"5,374","279,287",281,"26,250","11,032","29,480",34,13,47,"12,467","512,178",Annual Count,"105,958",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"1,002,785","534,695","15,872",425,75,0,87,"31,467","192,393","2,384","577,719","580,103","1,195,178","772,496","1,775,281",Yes,759,"41,969",394,"17,972",372,372,0,"14,221","14,221",0,22,20,2,"3,751","3,731",20,24,19,5,401,340,61,329,217,112,"8,011","6,082","1,929",12,12,0,"15,585","15,585",0,9,"2,996",8,658,Yes,"40,196",Annual Estimate Based on Typical Week(s),"852,820","127,620",Annual Count,84,Symphony (SirsiDynix),71,"6,137",,CA0080,21-22
OAKLAND PUBLIC LIBRARY,Alameda,Municipal Library,"Multi-Place, entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,125 14TH ST.,OAKLAND,94612,4310,(510) 238-3281,(510) 238-3138,http://oaklandlibrary.org,53,No,Yes,Yes,Yes,Yes,No,Yes,No,"447,938","415,262","72,915",1,17,0,18,0,"207,510","$44,237,156 ","$348,367 ",$0 ,"$154,282 ","$44,739,805 ","$427,500 ",$0 ,$0 ,$0 ,"$427,500 ","$18,252,891 ","$12,234,046 ","$30,486,937 ","$1,081,432 ","$121,146 ","$1,202,578 ","$1,366,674 ","$290,589 ","$2,859,841 ","$7,542,570 ","$40,889,348 ","$143,663 ",333,93.09,93.09,168.6,261.69,"1,214","2,697.00","341,759","40,686","964,511","38,445","77,038",Yes,66,Yes,412,"8,734","1,088,728","2,142","853,538","531,142","25,363",41,21,62,"43,627","999,085",Annual Estimate Based on Typical Week(s),"225,261",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"2,197,735","1,256,051","157,176","17,755","18,250","2,315","2,406","63,920","802,278","45,323","399,680","445,003","3,000,013","1,247,281","3,445,016",Yes,"2,345","53,209","1,503","32,421",332,332,0,"7,479","7,479",0,"1,171","1,171",0,"24,942","24,942",0,244,242,2,"2,057","2,053",4,534,377,157,"15,996","12,130","3,866",64,64,0,"2,735","2,735",0,280,"8,411",56,"2,582",No,"88,445",Annual Count,"1,092,068","38,422",Annual Count,270,Sierra (Innovative),38,"2,819","take home kits for teens, children's and adults.",CA0081,21-22
OCEANSIDE PUBLIC LIBRARY,San Diego,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,330 N. COAST HIGHWAY,OCEANSIDE,92054,2824,(760) 435-5560,(760) 435-5600,http://www.oceansidepubliclibrary.org,44,Yes,Yes,Yes,Yes,Yes,No,No,No,"173,048","125,787","23,972",1,2,2,5,0,"46,792","$5,716,261 ","$278,305 ","$183,093 ","$172,060 ","$6,349,719 ","$493,011 ",$0 ,$0 ,$0 ,"$493,011 ","$2,315,253 ","$1,435,121 ","$3,750,374 ","$186,407 ","$11,200 ","$197,607 ","$116,400 ","$21,500 ","$335,507 ","$2,269,838 ","$6,355,719 ","$162,932 ",71,12,12,33.48,45.48,205,"18,333.00","83,492","13,860","163,158","5,907","10,263",Yes,12,Yes,12,388,"179,716",82,"733,271","526,124","25,365",4,15,19,"8,371","293,546",Annual Count,"55,141",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"333,442","180,255","9,600","3,038","11,615",12,12,583,"79,611","5,029","5,460","10,489","413,053","90,100","423,542",No,"1,289","26,657",630,"16,690",372,351,21,"6,292","6,092",200,258,182,76,"10,398","9,649",749,75,56,19,640,555,85,529,427,102,"8,403","7,474",929,55,20,35,924,548,376,46,"4,194",0,0,Yes,"43,096",Annual Count,-1,-1,,78,Sierra (Innovative),51,"11,686",Different take-home crafts and activities each (except one) week of the year.,CA0082,21-22
ONTARIO CITY LIBRARY,San Bernardino,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,215 EAST C STREET,ONTARIO,91764,4111,(909) 395-2216,(909) 395-2205,http://www.ontarioca.gov/library,50,No,,,,,,,,"179,516","127,655","9,013",1,1,0,2,0,"72,800","$5,285,393 ","$22,661 ",$0 ,$0 ,"$5,308,054 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,577,271 ","$891,117 ","$3,468,388 ","$245,400 ","$16,300 ","$261,700 ","$46,000 ","$53,000 ","$360,700 ","$1,456,305 ","$5,285,393 ",$0 ,53,10,10,26,36,285,"2,492.00","89,454","16,514","247,937","15,419","34,158",Yes,101,Yes,31,243,"297,757",162,"44,354","1,851",0,24,15,39,"5,824","188,436",Annual Count,"64,358",Annual Count,Yes,$0.15 ,$0.15 ,$0.15 ,"314,164","182,869","16,001",672,111,19,83,0,"37,255","7,342",-1,"7,342","351,419","44,597","358,761",Yes,485,"13,747",215,"7,060",170,167,3,"5,170","4,821",349,45,40,5,"1,890","1,497",393,75,72,3,821,499,322,115,104,11,"1,606","1,305",301,80,75,5,"4,260","3,869",391,4,10,20,"1,721",Yes,"15,558",Annual Count,-1,-1,,77,Polaris (Innovative),12,384,Patrons pick up craft bags,CA0083,21-22
ORANGE COUNTY PUBLIC LIBRARIES,Orange,County Library with Dedicated Tax,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,County/Parish,Santiago,1501 E. ST. ANDREW PLACE,SANTA ANA,92705,4930,(714) 566-3000,(714) 566-3000,http://www.ocpl.org/,556,No,Yes,Yes,Yes,Yes,No,Yes,No,"1,657,924","450,521","84,889",0,32,0,32,0,"393,569","$67,695,507 ","$564,505 ","$84,157 ","$1,127,158 ","$69,471,327 ",$0 ,$0 ,$0 ,"$259,041 ","$259,041 ","$19,725,022 ","$11,031,674 ","$30,756,696 ","$3,328,697 ","$168,999 ","$3,497,696 ","$1,059,417 ","$658,669 ","$5,215,782 ","$23,621,791 ","$59,594,269 ","$6,088,253 ",399,117.5,117.5,241.13,358.63,"3,539","19,399.00","622,998","74,854","1,295,435","65,013","135,664",Yes,108,Yes,353,"2,301","1,498,413","2,377","794,319","228,370","65,104",35,22,57,"79,490","2,789,900",Annual Count,"479,197",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"6,330,483","4,079,133","315,829",937,"4,011",225,"3,375","7,812","1,739,021","70,972","840,149","911,121","8,069,504","2,650,142","8,980,625",No,"6,652","163,538","3,092","82,080","1,689","1,464",225,"39,927","33,794","6,133","1,403","1,390",13,"42,153","42,029",124,470,445,25,"3,702","3,469",233,"1,663","1,341",322,"12,686","10,275","2,411","1,427","1,404",23,"65,070","64,601",469,190,"21,197",296,"102,046",Yes,"181,164",Annual Count,"3,159,194","642,268",Annual Count,516,Symphony (SirsiDynix),"1,322","111,002","Take Home Crafts, Scavenger Hunts",CA0084,21-22
ORANGE PUBLIC LIBRARY,Orange,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,407 E CHAPMAN AVE,ORANGE,92866,1594,(714) 288-2471,(714) 288-2410,http://www.cityoforange.org/library,24,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"137,676","57,231","5,888",1,2,0,3,0,"62,261","$5,753,432 ","$73,637 ",$0 ,"$127,985 ","$5,955,054 ","$148,318 ","$52,290 ",$0 ,"$98,905 ","$299,513 ","$2,610,246 ","$856,240 ","$3,466,486 ","$109,458 ","$8,069 ","$117,527 ","$71,187 ","$38,827 ","$227,541 ","$2,169,015 ","$5,863,042 ","$252,157 ",56,12,12,28.95,40.95,145,"9,110.25","64,602","9,185","134,884","11,625","17,061",Yes,5,Yes,30,261,"163,831",79,"5,666",499,"85,695",6,19,25,"6,423","217,211",Annual Count,"16,631",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"352,564","212,730","10,710",390,29,"1,518",329,354,"70,965","4,867","104,687","109,554","423,529","180,519","533,083",Yes,245,"11,517",115,"4,463",56,56,0,"2,236","2,236",0,59,53,6,"2,227","2,217",10,39,39,0,249,249,0,56,51,5,774,708,66,35,35,0,"6,031","6,031",0,6,481,0,0,Yes,"21,451",Annual Count,-1,"70,974",Annual Count,95,Symphony (SirsiDynix),25,"2,988","a variety of ""take-and-make"" projects for patrons of all ages. reading challenge programs for patrons of all ages. ",CA0085,21-22
ORLAND FREE LIBRARY,Glenn,Municipal Library,"County or Equivalent, overlap",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,333 MILL ST.,ORLAND,95963,1788,(530) 865-1640,-1,http://www.orlandfreelibrary.net,660,No,Yes,No,Yes,Yes,Yes,Yes,No,"15,295","10,928","1,361",1,0,0,1,0,"5,160","$481,512 ",$0 ,$0 ,$0 ,"$481,512 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$262,274 ","$154,519 ","$416,793 ","$9,459 ",$0 ,"$9,459 ",$168 ,$0 ,"$9,627 ","$52,500 ","$478,920 ",$0 ,8,0.5,0.5,5,5.5,16,96,"11,906","1,583","41,891","1,113","3,395",Yes,24,Yes,16,4,"46,403",32,"68,101","19,752",299,1,13,14,"1,640","14,860",Annual Count,-1,,No,,,,"23,514","9,601",616,12,21,18,62,36,"4,853",2,-1,2,"28,367","4,855","28,369",Yes,127,"2,324",74,"1,787",8,8,0,114,114,0,66,66,0,"1,673","1,673",0,52,52,0,260,260,0,0,0,0,0,0,0,1,1,0,277,277,0,4,942,0,0,Yes,"2,300",Annual Count,"12,063",-1,,7,Koha (Equinox),19,488,"Storytime to Go kits and self directed ""scavenger hunts""",CA0086,21-22
OXNARD PUBLIC LIBRARY,Ventura,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,251 SOUTH A ST.,OXNARD,93030,5750,(805) 385-7500,(805) 385-7532,www.oxnard.org/library,25,No,Yes,Yes,Yes,Yes,No,No,Yes,"200,050","87,131","19,974",1,2,0,3,0,"95,612","$4,433,518 ",$0 ,"$10,360 ",$0 ,"$4,443,878 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,483,843 ","$1,219,333 ","$2,703,176 ","$150,110 ","$3,746 ","$153,856 ","$49,276 ",$0 ,"$203,132 ",$0 ,"$2,906,308 ",$0 ,34,11.5,11.5,12,23.5,41,481,"125,657","15,439","315,441","17,158","16,549",Yes,0,Yes,0,28,"349,176",,"143,870","854,786","24,496",4,18,22,"6,510","78,591",Annual Estimate Based on Typical Week(s),"16,280",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"53,146","28,539","5,131",77,82,266,926,97,"11,273","2,579","21,998","24,577","64,419","35,850","88,996",Yes,131,"6,113",68,"1,965",40,18,22,"1,237","1,100",137,28,26,2,728,693,35,21,16,5,315,307,8,16,8,8,185,155,30,26,16,10,"3,648","3,606",42,8,"2,837",27,614,Yes,"9,155",Annual Count,"69,834","9,155",Annual Estimate Based on Typical Week(s),48,Symphony (SirsiDynix),1,8,Take-home craft bags for children (Halloween); a craft with video instructions how to create it,CA0087,21-22
PACIFIC GROVE PUBLIC LIBRARY,Monterey,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,550 CENTRAL AVE.,PACIFIC GROVE,93950,2789,(831) 648-5760,(831) 648-5762,http://www.pacificgrovelibrary.org,3,Yes,Yes,Yes,Yes,Yes,No,No,No,"14,761","17,787","2,336",1,0,0,1,0,"12,593","$1,121,476 ","$7,089 ",$0 ,"$55,000 ","$1,183,565 ",$0 ,"$25,121 ",$0 ,"$7,682 ","$32,803 ","$559,760 ","$327,550 ","$887,310 ","$57,121 ","$7,155 ","$64,276 ","$16,010 ","$9,682 ","$89,968 ","$90,628 ","$1,067,906 ","$25,190 ",8.75,3.5,3.5,5.25,8.75,19,"1,551.00","15,281","2,337","44,032","1,655","4,808",No,0,No,0,34,"50,529",85,"25,382","16,906",0,36,14,50,762,"30,945",Annual Count,"13,105",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"133,663","58,382",258,0,0,0,0,102,"27,165","4,634","7,838","12,472","160,828","39,637","173,300",Yes,322,"7,797",236,"6,747",185,146,39,"3,916","3,738",178,51,43,8,"2,831","2,759",72,8,8,0,11,11,0,61,61,0,776,776,0,17,17,0,263,263,0,103,"2,236",38,335,No,"2,204",Annual Count,"48,617","14,000",Annual Estimate Based on Typical Week(s),6,Koha (Equinox),64,"1,379","Monthly Scavenger Hunt, Monthly Teen Bingo, Monthly Teen Scavenger Hunt, Weekly Crafternoon, Poetry Creation Station, Shredded Book Mystery, Misc. (does not include SRP or WRP, other than performance attendance) ",CA0088,21-22
PALM SPRINGS PUBLIC LIBRARY,Riverside,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 S. SUNRISE WAY,PALM SPRINGS,92262,7699,(760) 322-7323,(760) 322-7323,http://www.palmspringslibrary.org,106,Yes,Yes,No,Yes,Yes,Yes,Yes,No,"44,397","22,816","1,704",1,1,0,2,0,"38,400","$2,825,561 ",$728 ,"$10,000 ",$0 ,"$2,836,289 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,100,817 ","$862,052 ","$1,962,869 ","$77,500 ","$11,500 ","$89,000 ","$111,175 ","$39,000 ","$239,175 ","$534,517 ","$2,736,561 ",$0 ,17,6.5,6.5,7.8,14.3,23,"1,373.00","16,392","4,385","90,524","7,687","27,748",Yes,10,Yes,70,10,"125,969",104,"114,583","3,358","29,390",9,17,26,"4,785","106,643",Annual Count,"10,422",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"230,472","33,822","3,352",741,182,71,439,6,"42,272",110,"25,182","25,292","272,744","67,564","298,036",Yes,137,"4,012",34,"1,765",22,22,0,326,326,0,12,12,0,"1,439","1,439",0,16,16,0,87,87,0,87,19,68,"2,160","1,214",946,0,0,0,0,0,0,0,0,87,"1,011",Yes,"18,649",Annual Count,"93,680","15,026",Annual Count,46,Polaris (Innovative),0,0,,CA0090,21-22
PALMDALE CITY LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,700 E. PALMDALE BLVD.,PALMDALE,93550,4742,(661) 267-5600,(661) 267-5600,http://www.cityofpalmdale.org/library,103,No,No,Yes,Yes,No,No,No,No,"167,398","35,606","3,791",1,0,1,2,0,"12,787","$1,490,949 ",$0 ,"$24,288 ","$34,787 ","$1,550,024 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$87,462 ","$5,608 ","$93,070 ","$116,794 ","$15,060 ","$224,924 ","$1,325,100 ","$1,550,024 ",$0 ,17,3,3,9.75,12.75,28,987,"32,716","7,305","71,163","3,602","6,494",Yes,25,Yes,65,168,"81,427",37,"912,011","722,164","59,109",8,13,21,"2,916","37,321",Annual Count,"10,069",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"135,390","71,669","5,910","8,470","5,183","1,031",232,450,"9,019",416,"9,564","9,980","144,409","18,999","154,389",Yes,148,"4,555",101,"2,085",78,78,0,"1,270","1,270",0,23,7,16,815,316,499,0,0,0,0,0,0,18,14,4,289,233,56,29,29,0,"2,181","2,181",0,5,194,8,57,Yes,"11,422",Annual Count,"30,007","15,708",Annual Count,26,Polaris (Innovative),34,"15,339",Coffee and coloring grab and go. Teen Geek Club grab and go. Summer Lunch pop ups. Backpack giveaway event.,CA0089,21-22
PALO ALTO CITY LIBRARY,Santa Clara,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,270 FOREST AVE,PALO ALTO,94301,2512,(650) 329-2516,(650) 329-2436,http://www.cityofpaloalto.org/library/,26,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"67,473","54,334","10,250",0,5,0,5,0,"88,089","$8,902,834 ","$8,826 ","$14,527 ","$80,000 ","$9,006,187 ","$350,000 ",$0 ,$0 ,$0 ,"$350,000 ","$3,679,552 ","$3,164,361 ","$6,843,913 ","$176,065 ","$16,627 ","$192,692 ","$382,490 ","$60,152 ","$635,334 ","$1,272,592 ","$8,751,839 ","$103,446 ",52,23,25,19.87,44.87,20,"1,040.52","102,925","12,515","254,585","9,759","27,348",Yes,23,No,0,305,"291,997",187,"208,178","33,638","4,520",43,22,65,"7,972","446,896",Annual Count,"10,528",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"1,064,893","696,812","47,974","5,309","7,408",248,0,"1,360","150,035","41,939","650,243","692,182","1,214,928","842,217","1,907,110",Yes,435,"49,851",260,"46,519",194,28,166,"40,540","2,380","38,160",66,25,41,"5,979","1,541","4,438",53,13,40,"1,404",297,"1,107",122,12,110,"1,928",254,"1,674",0,0,0,0,0,0,29,"1,424",21,641,No,"13,715",Annual Count,"610,705",-1,Annual Estimate Based on Typical Week(s),30,Sierra (Innovative),5,613,"Creating leaves for thankful tree display, take home craft kit, storywalk",CA0091,21-22
PALO VERDE VALLEY LIBRARY DISTRICT,Riverside,Special District Library,"School District - Unified, overlap",Member of a Federation or Cooperative,Library District,Inland Library System,125 W. CHANSLORWAY,BLYTHE,92225,1245,(760) 922-5371,(760) 922-5371,http://www.blythelibrary.org,"1,003.00",No,No,No,Yes,No,Yes,No,No,"20,119","12,136","3,394",1,0,0,1,"6,199","6,199","$382,744 ",$0 ,$0 ,"$15,295 ","$398,039 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$186,382 ","$86,700 ","$273,082 ","$9,254 ",$0 ,"$9,254 ",$0 ,$260 ,"$9,514 ","$100,815 ","$383,411 ",$0 ,5,0,1,4,5,1,0.4,"14,944","2,790","42,043","1,128","1,314",No,0,No,0,0,"44,485",0,0,0,0,0,10,10,"1,860","16,617",Annual Count,-1,Annual Count,Yes,$0.20 ,$0.20 ,$0.20 ,"35,367","20,460",170,0,0,0,0,0,0,0,0,0,"35,367",0,"35,367",No,48,840,48,840,35,35,0,508,508,0,13,13,0,332,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"2,371",Annual Count,"3,780",425,Annual Count,8,Symphony (SirsiDynix),0,0,,CA0093,21-22
PALOS VERDES LIBRARY DISTRICT,Los Angeles,Special District Library,"School District - Unified, overlap",Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,701 SILVER SPUR RD.,ROLLING HILLS ESTATE,90274,3603,(310) 377-9584,(310) 377-9584,http://www.pvld.org,28,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"66,636","51,414","11,199",1,2,0,3,0,"113,000","$9,794,027 ",$0 ,$649 ,"$712,141 ","$10,506,817 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,098,700 ","$1,624,004 ","$6,722,704 ","$236,960 ","$31,467 ","$268,427 ","$263,128 ","$21,051 ","$552,606 ","$1,583,729 ","$8,859,039 ","$430,924 ",85,20,20,41.5,61.5,184,10,"54,378","4,700","167,494","15,407","19,008",Yes,27,Yes,30,241,"202,150",375,"529,578","141,721","49,514",64,22,86,"6,870","537,074",Annual Count,"37,550",Annual Count,Yes,$0.30 ,$0.00 ,$0.00 ,"749,879","421,778","21,735",465,224,-1,-1,"1,023","121,242","16,983","117,765","134,748","871,121","255,990","1,005,869",Yes,129,"5,159",60,"3,539",53,53,0,"3,313","3,313",0,7,7,0,226,226,0,15,3,12,297,149,148,54,50,4,"1,323","1,279",44,0,0,0,0,0,0,12,"1,794",60,"3,938",Yes,"13,676",Annual Count,"482,056",-1,Annual Estimate Based on Typical Week(s),46,Symphony (SirsiDynix),3,205,"ADULT: 3 Take & Makes for 205 participants. We did # of signups, including wait-listing patrons. CHILDREN: 23 projects, 8,600 participants. Most were prepared craft kits to pick up at the library and do at home. We also offered some scavenger hunts that kids could do anytime the library was open.",CA0092,21-22
PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,285 E. WALNUT ST.,PASADENA,91101,1598,(626) 744-4066,(626) 744-4066,http://cityofpasadena.net/library,23,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"138,310","319,134","72,140",0,9,0,9,0,"179,336","$14,645,929 ",$0 ,$0 ,"$133,800 ","$14,779,729 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,521,114 ","$2,532,362 ","$8,053,476 ","$464,789 ","$56,231 ","$521,020 ","$307,174 ","$47,062 ","$875,256 ","$4,224,842 ","$13,153,574 ",$0 ,104,26.5,26.5,73.48,99.98,129,752,"197,473","15,037","508,093","17,327","23,265",Yes,65,Yes,110,396,"549,081",338,"842,758","721,470","75,664",38,18,56,"22,080","453,799",Annual Count,"63,415",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"613,019","356,320","16,512",0,294,37,141,,"92,480","5,034","494,220","499,254","705,499","591,734","1,204,753",Yes,"1,347","24,656",831,"14,443",406,382,24,"6,580","6,070",510,425,381,44,"7,863","7,498",365,101,97,4,"1,485","1,469",16,414,296,118,"8,428","5,112","3,316",1,0,1,300,0,300,86,"3,261",91,"49,881",No,"17,391",Annual Count,"370,779","95,841",Annual Count,156,Symphony (SirsiDynix),85,"2,814","take and make crafts, story walks, and self-directed social media activities.",CA0094,21-22
PASO ROBLES CITY LIBRARY,San Luis Obispo,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,1000 SPRING ST.,PASO ROBLES,93446,2599,(805) 237-3870,(805) 237-3870,http://www.prcity.com/library,17,No,Yes,Yes,Yes,Yes,Yes,No,No,"31,176","23,341","3,041",1,1,0,2,0,"20,607","$1,264,768 ",$0 ,$0 ,"$10,875 ","$1,275,643 ","$267,844 ",$0 ,$0 ,$0 ,"$267,844 ","$741,364 ","$279,729 ","$1,021,093 ","$44,561 ",$483 ,"$45,044 ","$36,138 ",$0 ,"$81,182 ","$173,368 ","$1,275,643 ",$0 ,16,3,3,7.2,10.2,63,"6,500.00","22,006","2,048","52,725","2,271","4,143",Yes,9,Yes,41,50,"59,189",18,"2,826","5,550",934,4,21,25,"3,241","94,696",Annual Count,"12,078",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"200,803","91,938","5,245","22,810","15,384",114,501,"1,080","53,637","1,090","6,748","7,838","254,440","61,475","262,278",Yes,112,"1,528",70,985,39,17,22,296,246,50,31,11,20,689,616,73,5,4,1,46,40,6,37,13,24,497,368,129,0,0,0,0,0,0,16,552,67,157,Yes,"12,310",Annual Count,"51,521","6,565",Annual Count,18,Koha (Equinox),214,"7,256",Weekly craft kits with a variety of themes.,CA0095,21-22
