Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,# of Electronic Collections through State Funding in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
ONTARIO CITY LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,215 EAST C STREET,ONTARIO,91764,4111,9093952216,(909) 395-2205,http://www.ontariocitylibrary.org,4,Yes,,50,"177,589",,,,"177,589","102,113","21,944",1,1,0,0,2,2,"262,947","5,772",2.54,69,0,13,36,28,8,13,49,"$5,155,881 ","$5,155,881 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,789,356 ","$456,207 ","$325,382 ","$30,325 ","$40,500 ","$60,000 ","$355,707 ","$2,543,763 ","$949,386 ","$3,493,149 ",$0 ,"$1,840,000 ","$2,500 ","$88,800 ",$0 ,"92,408","24,645",,"1,183","8,503","6,718","23,844",312,"12,893","57,271",9,0,"261,755","5,497",30,9,"7,890","18,277","57,271","144,702","261,755","351,694","508,296","294,527","20,629","35,306","153,199","188,505","543,602","696,801",488,245,"60,381","1,128",486,285,"4,738","22,760","32,398",228,"10,115",258,"12,645",357,"4,900","$9,841 ","$11,766 ","$7,126 ","$8,662 ","$5,647 ","$6,995 ","$5,647 ","$6,995 ","$4,507 ","$5,529 ","$4,955 ","$6,084 ","$3,273 ","$3,979 ",$0 ,$0 ,"$2,696 ","$3,275 ",Yes,Yes,Yes,"73,830",77,,Yes,CA0083,17-18
ORANGE COUNTY PUBLIC LIBRARIES,Orange,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Santiago,1501 E. ST. ANDREW PLACE,SANTA ANA,92705,4930,7145663000,(714) 530-0711,http://www.ocpl.org/,4,No,$0.15 / page,556,"1,644,372","95,455","200,063","295,518","1,348,854","527,136","59,182",0,30,0,3,30,33,"5,386,190","87,657",36,386,2,113.5,224.63,102,120.63,113.5,338.13,"$57,399,062 ","$54,642,411 ","$366,191 ","$17,000 ",$0 ,$0 ,$0 ,"$256,240 ","$256,240 ","$2,373,460 ","$82,895 ","$46,766,193 ","$5,296,430 ","$3,308,995 ","$220,845 ","$1,038,624 ","$727,966 ","$3,529,840 ","$17,704,162 ","$8,628,975 ","$26,333,137 ","$2,336,283 ","$15,136,626 ",$0 ,"$1,367,431 ","$433,581 ","620,579","61,454","3,491","11,742","60,764","17,526","88,042","2,954","21,941","370,744",30,0,"1,323,114","90,738","14,231",30,"88,370","183,745","370,744","641,081","1,326,605","1,849,139","6,188,495","3,671,028","221,332","853,540","1,650,977","2,504,517","7,042,035","8,693,012","1,779","5,261","462,843","12,346","8,385",932,"14,300","316,274","365,173","2,712","93,829","5,673","222,445","3,029","34,599","$10,429 ","$19,779 ","$8,178 ","$14,361 ","$6,542 ","$11,625 ","$5,774 ","$8,223 ","$4,917 ","$6,628 ","$5,200 ","$7,772 ","$3,078 ","$4,434 ","$4,704 ","$9,351 ","$2,825 ","$3,912 ",Yes,Yes,Yes,"509,623",566,"2,191,632",No,CA0084,17-18
ORANGE PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,407 E CHAPMAN AVE,ORANGE,92866,1594,7142882471,(714) 288-2410,http://www.cityoforange.org/library,4,Yes,,24,"141,952","8,837","18,720","27,557","114,395","55,644","7,949",1,2,0,0,3,3,"413,582","5,967",8.43,54,4.7,13,27.2,15.1,7.4,13,40.2,"$5,880,818 ","$5,769,938 ","$41,000 ",$0 ,$0 ,$0 ,$0 ,"$6,000 ","$6,000 ","$69,880 ","$41,000 ","$5,019,275 ","$199,547 ","$95,334 ","$7,089 ","$67,023 ","$30,101 ","$102,423 ","$2,360,027 ","$1,102,647 ","$3,462,674 ","$275,233 ","$1,357,054 ",$336 ,"$59,813 ","$42,116 ","84,921","11,886",0,"2,981","14,953","5,840","18,189",119,"4,350","2,588",11,0,"168,705","7,524",0,11,"3,642","7,948","2,588","71,898","168,705","204,565","455,045","255,679","10,772","81,180","108,799","189,979","536,225","645,024",292,23,"34,679",558,414,68,582,"23,136","25,664",271,"13,998",143,"9,138",76,"1,946","$10,232 ","$13,121 ","$7,548 ","$9,679 ","$6,831 ","$8,670 ","$6,499 ","$8,335 ","$4,405 ","$5,648 ","$4,867 ","$6,241 ","$3,608 ","$4,627 ","$6,499 ","$8,355 ","$2,868 ","$3,678 ",Yes,Yes,Yes,"94,075",77,,Yes,CA0085,17-18
ORLAND FREE LIBRARY,Glenn,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,333 MILL ST.,ORLAND,95963,1788,5308651640,-1,http://www.orlandfreelibrary.net,6,Yes,,660,"15,332",841,"1,482","2,323","13,009","10,087","1,620",1,0,0,0,1,1,"38,460","1,924",1,6,0,1,3,0,3,1,4,"$377,415 ","$377,415 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$393,814 ","$8,800 ","$8,000 ",$0 ,$800 ,$0 ,"$8,000 ","$224,594 ","$119,870 ","$344,464 ",$0 ,"$40,550 ",$0 ,"$1,200 ",$0 ,"14,462","1,519",,58,"1,310",212,"4,137",45,"1,444","12,525",0,0,"48,328","6,053",0,0,349,"1,447","12,525","32,347","48,328","66,345","35,896","10,042",670,"1,463",,"1,463","37,359","37,359",76,171,,148,140,3,49,"3,303","3,404",77,"1,608",63,"1,695",5,52,"$5,949 ","$6,246 ",,,,,,,,,,,"$2,722 ","$2,858 ",,,"$2,121 ","$2,184 ",No,No,Yes,"5,230",7,"22,966",No,CA0086,17-18
OXNARD PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,251 SOUTH A ST.,OXNARD,93030,5750,8053857500,(805) 385-7532,www.oxnard.org/library,4,Yes,,25,"206,499","17,759","30,562","48,321","158,178","146,534","56,208",1,1,0,1,2,3,"384,723","6,646",3.89,41,0,10.5,21.9,11.4,10.5,10.5,32.4,"$3,448,077 ","$3,301,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$146,089 ",$0 ,"$3,532,483 ","$251,400 ","$152,504 ","$19,447 ","$54,237 ","$25,212 ","$171,951 ","$1,528,995 ","$914,235 ","$2,443,230 ",$0 ,"$837,853 ",$0 ,"$80,357 ","$37,471 ","138,086","17,839",356,"1,795","20,528","3,572","21,162",200,"7,636","227,230",5,0,"386,162","350,686","31,394",5,"5,630","9,424","227,230","230,237","386,518","655,643","313,036","182,318","36,714","5,636","7,013","12,649","318,672","325,685",746,172,"54,066",669,456,154,"1,471","9,525","11,623",302,"5,794",154,"3,731",59,627,"$5,268 ","$8,768 ",,,"$4,160 ","$6,456 ","$4,160 ","$6,456 ","$3,404 ","$5,282 ","$3,782 ","$5,868 ","$2,314 ","$3,592 ",,,"$2,066 ","$3,592 ",Yes,Yes,Yes,"96,447",86,"95,025",Yes,CA0087,17-18
PACIFIC GROVE PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,550 CENTRAL AVE.,PACIFIC GROVE,93950,2789,8316485760,(831) 648-5762,http://www.pacificgrovelibrary.org,-1,No,,3,"15,660",622,"1,632","2,254","13,406","17,954","2,587",1,0,0,0,1,1,"144,139","2,600",1,12,2.25,4.5,7.25,3,2,4.5,11.75,"$1,252,502 ","$1,160,102 ","$11,600 ",$0 ,$0 ,$0 ,$0 ,"$736,000 ","$736,000 ","$80,800 ",$0 ,"$1,240,285 ","$80,182 ","$51,429 ","$7,534 ","$14,503 ","$6,716 ","$58,963 ","$652,380 ","$245,319 ","$897,699 ","$70,000 ","$262,404 ",$0 ,"$15,888 ",$0 ,"18,555","3,187",0,480,"4,190",852,"5,378",119,"2,855","5,673",24,0,"64,908","4,027",0,24,"1,057","3,005","5,673","43,166","64,908","80,292","133,358","53,407",0,"13,269","10,545","23,814","146,627","157,172","77,092","45,005","15,821",323,264,0,0,"11,780","12,515",183,"6,221",81,"5,559",59,735,"$9,071 ","$11,868 ",,,,,,,"$5,231 ","$6,847 ",,,"$3,865 ","$5,060 ",,,"$3,033 ","$3,689 ",Yes,No,No,"14,400",8,"51,164",No,CA0088,17-18
PALM SPRINGS PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 S. SUNRISE WAY,PALM SPRINGS,92262,7699,7603227323,(760) 322-7323,http://www.palmspringslibrary.org,4,No,0.25,106,"47,706",882,"1,675","2,557","45,149","23,108","2,292",1,1,0,0,2,2,"256,191","6,854",2,18,1,6,8.3,1,6.3,6,14.3,"$2,773,453 ","$2,760,478 ","$5,475 ","$7,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,760,478 ","$278,368 ","$121,797 ","$14,391 ","$69,075 ","$73,105 ","$136,188 ","$1,053,109 ","$766,827 ","$1,819,936 ",$0 ,"$662,174 ",$0 ,"$28,100 ",$0 ,"22,486","4,511",0,822,"8,979","3,871","24,183",159,"9,989","77,906",10,0,"103,799","1,935",0,10,"2,026","7,823","77,906","76,802","103,799","215,036","449,646","84,774","7,342","14,483","18,226","32,709","464,129","482,355",783,949,"15,616",271,121,44,"1,210","6,459","10,475",44,"1,373",77,"5,086",106,"2,806","$9,374 ","$12,607 ",,,"$5,722 ","$7,692 ",,,"$5,184 ","$6,971 ",,,,,"$5,446 ","$7,323 ","$2,978 ","$4,007 ",Yes,Yes,Yes,"80,387",42,,Yes,CA0090,17-18
PALMDALE CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,700 E. PALMDALE BLVD.,PALMDALE,93550,4742,6612675600,(661) 267-5600,http://www.cityofpalmdale.org/library,0,No,.10/page bw & .25/page color,103,"158,905","13,644","27,287","40,931","117,974","56,332","8,251",1,0,1,0,2,2,"188,218","3,000",0.23,15,0,2.75,8.5,1.13,7.37,2.75,11.25,"$1,371,227 ","$1,305,222 ",$0 ,$0 ,"$289,823 ",$0 ,$0 ,$0 ,"$289,823 ","$66,005 ",$0 ,"$1,305,344 ","$200,996 ","$91,648 ","$10,928 ","$62,005 ","$36,415 ","$102,576 ",$0 ,$0 ,$0 ,"$289,823 ","$1,104,348 ",$0 ,"$50,412 ",$0 ,"32,096","6,346",21,437,"3,288","1,842","4,695",122,"4,975",866,6,0,"68,823",78,0,6,"2,939","5,745",866,"30,381","68,844","77,821","211,780","107,388","9,362",806,,806,"212,586","212,586",0,0,"35,046",414,244,33,284,"10,611","11,922",109,"3,163",135,"7,448",137,"1,027","$6,000 ","$6,157 ","$6,006 ","$6,157 ",$0 ,$0 ,$0 ,$0 ,"$3,153 ","$3,232 ",$0 ,$0 ,"$3,033 ","$3,110 ",$0 ,$0 ,"$1,451 ","$1,488 ",Yes,Yes,Yes,"40,624",28,"83,199",No,CA0089,17-18
PALO ALTO CITY LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,270 FOREST AVE,PALO ALTO,94301,2512,6503292516,(650) 329-2436,http://www.cityofpaloalto.org/library/,3,No,,26,"69,721","3,347","9,900","13,247","56,474","56,159","6,179",0,5,0,0,5,5,"1,045,282","13,520",1.87,103,0,29.05,34.53,33.53,1,27.05,63.58,"$9,767,378 ","$9,627,378 ",$0 ,$0 ,"$524,177 ",$0 ,$0 ,$0 ,"$524,177 ","$140,000 ",$0 ,"$9,121,122 ","$741,939 ","$274,005 ","$27,822 ","$327,050 ","$113,062 ","$301,827 ","$4,341,100 ","$2,578,064 ","$6,919,164 ","$304,810 ","$1,460,019 ",$0 ,"$130,685 ",$0 ,"97,718","13,131",0,"4,253","15,454","9,788","33,376",380,"10,869","128,246",54,0,"254,678","33,302","7,839",54,"12,189","22,052","128,246","143,829","254,678","432,188","1,435,474","787,060","79,672","102,644","213,920","316,564","1,538,118","1,752,038","16,378","8,631","33,020","1,713",931,304,"5,563","50,106","62,114",766,"43,510",165,"6,596",478,"6,445","$12,586 ","$18,880 ","$10,488 ","$15,732 ","$8,237 ","$12,355 ","$6,861 ","$10,291 ","$4,990 ","$6,129 ","$5,668 ","$6,959 ","$4,512 ","$5,540 ",$1 ,$1 ,"$4,268 ","$5,240 ",No,No,No,"146,567",138,"889,343",Yes,CA0091,17-18
PALO VERDE VALLEY LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 W. CHANSLORWAY,BLYTHE,92225,1245,7609225371,(760) 922-5371,http://www.blythelibrary.org,3,No,.30 b/w letter - .50 b/w legal,"1,003.00","37,866","1,104","2,377","3,481","34,385","11,499","3,251",1,0,0,0,1,1,"72,243","1,950",0.4,5,0,1,4,4,0,0,5,"$363,591 ","$346,624 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$16,967 ",$0 ,"$347,755 ","$8,822 ","$8,355 ",$0 ,$0 ,$467 ,"$8,355 ","$194,154 ","$69,823 ","$263,977 ",$0 ,"$74,956 ",$641 ,$28 ,$0 ,"14,616","2,529",0,108,"1,028",135,"1,224",10,649,0,0,0,"40,550",0,0,0,245,704,0,"23,405","40,550","42,812","55,371","30,371",197,0,0,0,"55,371","55,371",0,27,"5,123",82,65,11,179,"1,446","1,702",54,"1,221",11,225,6,77,"$5,017 ","$5,017 ","$4,335 ","$4,335 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,No,No,No,"8,206",13,"2,576",No,CA0093,17-18
PALOS VERDES LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (exactly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,701 SILVER SPUR RD.,ROLLING HILLS ESTATE,90274,3603,3103779584,(310) 377-9584,http://www.pvld.org,4,Yes,,28,"68,993","2,348","9,072","11,420","57,573","43,878","8,295",1,3,0,0,4,4,"603,517","8,580",20,93,7,19,39,28,4,16,58,"$9,008,402 ","$8,142,576 ",$0 ,"$35,821 ",$0 ,$0 ,$0 ,"$113,600 ","$113,600 ","$830,005 ",$0 ,"$8,649,844 ","$466,520 ","$165,617 ","$36,251 ","$223,340 ","$41,312 ","$201,868 ","$4,998,975 ","$1,376,886 ","$6,375,861 ","$391,000 ","$1,807,463 ",$0 ,"$75,077 ",$0 ,"71,735","5,682",0,"1,665","8,395","2,967","16,739",651,"9,330","293,666",36,0,"208,039","64,780","62,908",36,"4,626","11,159","293,666","130,622","208,039","527,526","578,598","320,137","16,281","55,992","71,722","127,714","634,590","706,312",729,292,"52,016","1,162",808,72,732,"31,978","41,646",707,"28,297",101,"3,681",282,"8,936","$15,247 ","$15,247 ","$11,899 ","$14,860 ","$9,528 ","$11,899 ","$8,632 ","$10,780 ","$5,815 ","$7,262 ","$6,418 ","$8,016 ","$4,772 ","$5,960 ",$0 ,$0 ,"$3,549 ","$4,432 ",Yes,Yes,Yes,"45,957",48,"352,719",No,CA0092,17-18
PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,285 E. WALNUT ST.,PASADENA,91101,1598,6267444066,(626) 744-4066,http://cityofpasadena.net/library,3,No,,23,"144,388","11,072","15,021","26,093","118,295","317,076","69,875",1,8,0,1,9,10,"1,048,092","23,932",0.75,138,6,28.5,76.06,44.06,26,28.5,104.56,"$14,709,123 ","$14,424,531 ","$100,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$184,592 ",$0 ,"$14,159,875 ","$772,084 ","$516,979 ","$32,269 ","$196,272 ","$26,564 ","$549,248 ","$5,063,903 ","$3,858,401 ","$8,922,304 ",$0 ,"$4,465,487 ",$0 ,"$56,347 ",$0 ,"204,019","14,859","8,786",911,"20,717","3,770","20,755",568,"12,767","26,365",-1,0,"525,817","7,245",224,-1,"6,678","16,339","26,365","306,939","534,603","603,007","948,289","344,457","15,933","115,371","85,695","201,066","1,063,660","1,149,355",-1,-1,"127,419","2,472","1,473",263,"5,586","33,091","56,358",807,"21,030",666,"12,061",736,"17,681","$12,485 ","$15,606 ","$10,404 ","$13,005 ","$8,771 ","$10,963 ","$5,704 ","$7,130 ","$4,922 ","$6,140 ",,,"$3,850 ","$4,959 ","$6,860 ","$8,575 ","$3,480 ","$4,347 ",Yes,No,No,"113,031",154,"2,188,122",No,CA0094,17-18
PASO ROBLES CITY LIBRARY,San Luis Obispo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,1000 SPRING ST.,PASO ROBLES,93446,2599,8052373870,(805) 237-3870,http://www.prcity.com/library,4,Yes,,17,"31,559","2,031","6,666","8,697","22,862","16,942","2,057",1,0,0,1,1,2,"166,377","3,338",6.8,15,1,3,5.8,4.8,0,1,8.8,"$1,767,292 ","$1,734,627 ",$0 ,"$4,134 ","$42,311 ",$0 ,$0 ,$0 ,"$42,311 ","$28,531 ",$0 ,"$1,767,292 ","$74,080 ","$31,797 ","$3,175 ","$31,005 ","$8,103 ","$34,972 ","$651,071 ","$302,438 ","$953,509 ",$0 ,"$739,703 ",$0 ,"$17,430 ",$0 ,"23,337","2,470",139,897,"5,675","1,672","8,170",73,"3,531","1,863",8,0,"55,777","4,317","1,180",8,"1,962","4,475","1,863","29,970","55,916","71,705","243,572","97,602","7,775","36,504","6,235","42,739","280,076","286,311","21,403","20,406","14,517",428,317,17,190,"8,172","9,716",253,"6,070",64,"2,102",94,"1,354","$8,898 ","$11,307 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,990 ","$6,339 ","$4,007 ","$5,091 ","$4,990 ","$6,339 ",$0 ,$0 ,Yes,Yes,Yes,"24,716",18,"36,228",Yes,CA0095,17-18
PLACENTIA LIBRARY DISTRICT,Orange,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Santiago,411 E. CHAPMAN AVE.,PLACENTIA,92870,6198,7145281925,(714) 528-1906,http://placentialibrary.org,3,No,,7,"56,301","3,250","6,781","10,031","46,270","45,811","10,423",1,0,0,0,1,1,"311,026","4,280",8.5,25,0,10,15,15,0,9,25,"$2,909,310 ","$2,483,744 ","$30,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$395,566 ","$30,000 ","$2,535,844 ","$180,127 ","$89,853 ","$3,925 ","$64,936 ","$21,413 ","$93,778 ","$1,451,203 ","$309,773 ","$1,760,976 ","$3,726 ","$594,741 ",$582 ,"$39,497 ","$120,342 ","34,341","7,276",6,470,"4,112","2,123","6,185",59,"4,247","347,108",15,0,"68,896","63,136","13,005",15,"2,197","4,826","347,108","27,279","68,902","426,381","270,639","118,804","4,417","42,206","31,544","73,750","312,845","344,389","2,486","5,612","32,400",599,339,87,"1,333","17,496","25,098",83,"3,858",256,"13,638",173,"6,269","$11,134 ","$12,027 ",$0 ,$0 ,"$6,770 ","$8,662 ",$0 ,$0 ,"$4,722 ","$6,040 ","$5,554 ","$7,105 ","$3,845 ","$4,918 ","$6,770 ","$8,662 ","$2,917 ","$3,732 ",Yes,Yes,Yes,"25,005",37,"143,890",Yes,CA0096,17-18
PLACER COUNTY LIBRARY,Placer,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,350 NEVADA ST.,AUBURN,95603,3789,5308864550,(530) 886-4510,http://www.placer.ca.gov/library,4,No,0.15,"1,403.60","203,728","9,651","22,654","32,305","171,423","91,008","7,589",1,6,1,2,8,10,"539,456","15,028",5.87,49,2,11.23,33.35,22.72,8.63,11.23,44.58,"$7,644,393 ","$7,357,753 ","$38,012 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$248,628 ","$38,012 ","$7,610,536 ","$486,014 ","$268,159 ","$18,025 ","$93,026 ","$106,804 ","$286,184 ","$2,480,033 ","$1,928,530 ","$4,408,563 ",$0 ,"$2,715,959 ",$0 ,"$121,000 ","$154,896 ","72,339","10,642",41,"4,186","17,991","3,328","14,369",249,"18,984","9,241",9,0,"173,511","3,421",0,9,"8,689","19,285","9,241","90,530","173,552","215,411","957,373","377,842","7,278","64,914","254,019","318,933","1,022,287","1,276,306",343,48,"10,582","1,502","1,095",98,"2,041","41,629","50,303",657,"20,918",438,"20,711",309,"6,633","$9,636 ","$11,707 ","$7,823 ","$9,507 ","$6,602 ","$8,029 ","$5,998 ","$7,291 ","$4,935 ","$5,998 ","$5,440 ","$6,613 ","$4,363 ","$5,303 ","$7,082 ","$8,608 ","$3,029 ","$4,060 ",Yes,Yes,No,"41,532",64,"487,446",Yes,CA0009,17-18
PLEASANTON PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,400 OLD BERNAL AVE.,PLEASANTON,94566,7012,9259313400,(925) 931-3400,http://www.cityofpleasantonca.gov/gov/depts/lib/default.asp,3,Yes,$0.15 ,22,"79,201","4,113","14,004","18,117","61,084","39,280","9,374",1,0,0,0,1,1,"607,451","3,224",10,33.25,0,11.75,21.5,17.75,3.75,11.25,33.25,"$4,973,405 ","$4,935,068 ","$38,337 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$38,337 ","$4,956,590 ","$449,673 ","$250,269 ","$7,976 ","$120,284 ","$71,144 ","$258,245 ","$2,030,371 ","$2,272,246 ","$4,302,617 ",$0 ,"$204,300 ",$700 ,"$120,000 ","$93,508 ","75,243","6,563",0,"2,693","11,775","4,464","16,016",159,"8,782","433,497",-1,0,"138,853","315,536","13,713",-1,"5,212","9,971","433,497","57,047","138,853","600,299","1,217,063","721,515","27,992","69,826",,"69,826","1,286,889","1,286,889","5,284","13,494","73,136","1,044",820,140,"2,400","31,871","38,427",144,"8,365",676,"23,506",84,"4,156","$15,268 ","$15,268 ","$12,020 ","$12,020 ","$7,340 ","$8,923 ",,,,,"$6,350 ","$7,718 ","$5,210 ","$6,330 ",,,"$4,517 ","$5,487 ",No,Yes,Yes,"63,250",27,,Yes,CA0206,17-18
PLUMAS COUNTY LIBRARY,Plumas,County Library with Dedicated Tax,Multi-County (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,445 JACKSON ST.,QUINCY,95971,9410,5302836310,-1,http://plumascounty.us/index.aspx?nid=546,3,Yes,,"3,528.00","22,980",,,,"22,980","9,971","1,256",1,3,0,4,4,8,"65,175","7,436",1.15,30,2.3,3.13,6.44,3.39,0.75,1.63,9.57,"$529,989 ","$443,216 ","$74,190 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$12,583 ","$70,069 ","$529,990 ","$31,740 ","$13,792 ","$4,084 ","$12,612 ","$1,252 ","$17,876 ","$290,187 ","$147,355 ","$437,542 ",$0 ,"$60,708 ","$4,690 ","$7,487 ","$137,394 ","21,943","3,525",423,175,"5,359",788,"3,402",103,"1,528","9,241",2,0,"103,996","3,421",0,2,223,"1,528","9,241","78,528","104,419","122,526","53,223","10,374",112,"395,472","39,607","435,079","448,695","488,302",17,8,"3,120",358,220,0,0,"3,256","6,852",161,"2,034",59,"1,222",138,"3,596","$5,410 ","$6,580 ",,,,,"$3,474 ","$4,439 ",,,,,"$2,789 ","$3,394 ","$3,151 ","$3,834 ","$3,120 ","$3,796 ",No,No,No,"19,067",34,"15,300",No,CA0097,17-18
