Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Total Circulation,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
NEVADA COUNTY LIBRARY,Nevada,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,980 HELLING WAY,NEVADA CITY,95959,8619,(530) 265-1407,(530) 470-2748,http://mynevadacounty.com/library/,4,Yes,,978,"98,828",,,,"98,828","92,597","6,104",1,2,0,3,6,6,"397,196","9,020",4.9,34,0,5.5,28.5,23.5,5,5.5,34,"$2,772,397 ","$2,590,364 ","$18,000 ","$35,241 ",$0 ,$0 ,"$28,925 ","$19,963 ","$48,888 ","$128,792 ","$18,000 ","$2,910,380 ","$178,399 ","$94,153 ","$19,746 ","$35,567 ","$28,933 ","$113,899 ","$1,016,284 ","$694,277 ","$1,710,561 ","$70,809 ","$1,021,420 ","$6,993 ","$17,980 ","$36,680 ","42,121","6,718",0,900,"10,857","2,459","13,137",216,"4,333","79,660",18,"123,621","14,446","7,914",18,"2,216","13,535","79,660","74,782","123,621","227,509","213,099","1,966","41,154","733,463",159,315,"34,362","1,608",679,79,926,"18,190","20,282",431,"11,504",248,"6,686",171,"1,166","$9,659 ","$9,659 ",,,,,"$5,096 ","$4,990 ","$4,088 ","$4,508 ","$5,096 ","$4,990 ","$4,011 ","$4,427 ",$0 ,$0 ,"$2,558 ","$3,123 ",Yes,Yes,Yes,"31,957",174,"67,846",No,CA0079,16-17
NEWPORT BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,1000 AVOCADO AVE.,NEWPORT BEACH,92660,7915,(949) 717-3800,(949) 717-3860,http://www.newportbeachlibrary.org,6,Yes,,51,"84,915","3,249","8,652","11,901","73,014","112,141","7,187",1,3,0,0,4,4,"1,102,106","12,650",4.7,80,1,16,43.5,42.5,0,16,59.5,"$8,288,214 ","$7,806,793 ","$41,621 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$439,800 ","$41,621 ","$8,288,214 ","$824,846 ","$320,840 ","$31,974 ","$332,139 ","$139,893 ","$352,814 ","$3,697,152 ","$1,994,089 ","$5,691,241 ","$15,500 ","$1,772,127 ",$0 ,"$118,521 ","$127,466 ","94,939","7,795",0,"2,470","23,279","7,385","33,011",221,"11,151","15,526",32,"244,389","6,061",58,32,"8,138","17,225","15,526","141,655","244,389","316,458","508,581","3,824","116,781","1,464,640",356,108,"157,149","2,239",863,27,408,"43,650","65,643",720,"33,715",143,"9,935",486,"21,585","$11,808 ","$17,711 ","$9,362 ","$11,382 ","$5,764 ","$8,109 ","$5,236 ","$7,375 ","$4,765 ","$6,702 ","$5,236 ","$7,375 ","$4,053 ","$5,700 ","$5,764 ","$8,109 ","$3,157 ","$4,440 ",No,No,No,"96,786",115,"581,805",Yes,CA0080,16-17
OAKLAND PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,125 14TH ST.,OAKLAND,94612,4310,(510) 238-3281,(510) 238-3138,http://oaklandlibrary.org,6,Yes,,53,"449,211","27,026","48,237","75,263","373,948","307,889","63,294",1,17,0,0,18,18,"2,001,295","31,065",14.6,339,12.13,80.72,135.95,68.25,55.57,80.72,216.67,"$28,109,108 ","$27,880,303 ","$64,986 ","$16,531 ","$398,636 ",$0 ,$0 ,"$221,838 ","$620,474 ","$147,288 ","$64,669 ","$28,879,158 ","$1,728,945 ","$872,087 ","$132,176 ","$458,595 ","$266,087 ","$1,004,263 ","$13,418,859 ","$7,660,128 ","$21,078,987 ","$632,063 ","$6,071,226 ",$0 ,"$393,854 ","$219,777 ","331,810","37,276","34,980","7,496","46,351","25,079","94,654","1,906","26,372","104,729",38,"877,023","16,863","3,559",38,"39,326","72,306","104,729","507,937","912,003","1,159,681","1,024,454","236,668","213,449","2,343,619","10,267","18,740","248,863","11,849","4,629","1,367","29,626","156,441","209,852","1,745","72,582","2,884","83,859","1,224","23,785","$11,288 ","$16,932 ","$11,939 ","$14,660 ","$7,327 ","$8,996 ","$5,653 ","$7,904 ","$5,242 ","$6,438 ","$5,653 ","$6,944 ","$4,396 ","$6,563 ","$9,354 ","$11,486 ","$2,730 ","$3,351 ",Yes,Yes,No,"223,776",278,"2,008,693",No,CA0081,16-17
OCEANSIDE PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,330 N. COAST HIGHWAY,OCEANSIDE,92054,2824,(760) 435-5560,(760) 435-5600,http://www.oceansidepubliclibrary.org,4,No,,44,"176,461","11,470","21,176","32,646","143,815","55,762","11,016",1,1,2,1,3,5,"437,489","7,992",11.49,58,1.63,15.51,22.8,17.54,3.63,13.59,38.31,"$5,583,306 ","$5,311,854 ","$27,098 ",$0 ,"$280,000 ",$0 ,$0 ,$0 ,"$280,000 ","$244,354 ","$27,098 ","$5,382,132 ","$303,800 ","$189,400 ","$12,900 ","$74,400 ","$27,100 ","$202,300 ","$2,101,214 ","$803,042 ","$2,904,256 ","$280,000 ","$2,174,076 ","$12,810 ","$109,700 ","$84,910 ","84,025","14,039",,"7,163","4,178","3,733","13,446",144,"12,117","5,312",7,"172,527",592,0,7,"6,796","13,420","5,312","74,463","172,527","195,614","208,787","12,433","17,569","474,171",1,266,"37,741","1,815",638,172,"2,206","29,009","37,019",335,"15,596",303,"13,413",367,"5,804","$10,555 ","$14,071 ",$0 ,$0 ,"$7,724 ","$9,851 ","$5,635 ","$7,192 ","$3,961 ","$5,054 ","$4,356 ","$5,559 ","$3,182 ","$4,054 ","$4,311 ","$5,505 ","$2,895 ","$3,690 ",No,Yes,Yes,"104,173",102,,Yes,CA0082,16-17
ONTARIO CITY LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,215 EAST C STREET,ONTARIO,91764,4111,(909) 395-2216,(909) 395-2205,http://www.ontariocitylibrary.org,4,Yes,,50,"174,283",,,,"174,283","94,144","11,701",1,1,0,0,2,2,"501,478","5,772",3.04,72,0,13,36,28,8,13,49,"$4,903,919 ","$4,903,919 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$4,903,919 ","$377,800 ","$249,000 ","$28,300 ","$42,000 ","$58,500 ","$277,300 ","$2,184,492 ","$792,891 ","$2,977,383 ",$0 ,"$1,548,736 ","$2,500 ","$153,000 ",$0 ,"97,794","18,871",0,939,"8,780",-1,"23,370",348,"12,415","156,836",8,"219,694","56,203",30,8,"9,098","19,305","156,836","103,029","219,694","409,036","329,871","22,121","19,890","573,483",527,158,"70,471","1,512",492,275,"4,852","21,104","29,461",236,"9,385",256,"11,719",253,"3,505","$9,594 ","$11,662 ","$7,062 ","$8,584 ","$5,647 ","$6,933 ","$5,647 ","$6,933 ","$4,464 ","$5,480 ","$4,910 ","$6,024 ","$3,242 ","$3,940 ",,,"$2,669 ","$3,244 ",Yes,Yes,Yes,"91,020",62,,Yes,CA0083,16-17
ORANGE COUNTY PUBLIC LIBRARIES,Orange,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Santiago,1501 E. ST. ANDREW PLACE,SANTA ANA,92705,4930,(714) 566-3000,(714) 530-0711,http://www.ocpl.org/,4,No,$0.15 / page,556,"1,624,259","99,080","209,529","308,609","1,315,650","429,257","60,285",0,29,0,3,29,32,"5,792,976","85,896",37,396,5,117.5,225,102.5,117.5,117.5,342.5,"$45,991,595 ","$43,640,503 ","$359,915 ","$11,987 ","$4,500,000 ",$0 ,$0 ,"$85,181 ","$4,585,181 ","$1,979,190 ","$82,105 ","$42,618,859 ","$3,750,733 ","$2,427,344 ","$219,775 ","$884,909 ","$218,705 ","$2,647,119 ","$17,218,644 ","$8,182,611 ","$25,401,255 ","$1,249,462 ","$13,466,871 ",$0 ,"$1,158,482 ","$233,850 ","696,705","63,403","3,756","12,936","66,178","14,380","77,129","3,096","20,184","328,384",28,"1,541,746","70,209","15,230",28,"72,215","161,406","328,384","781,638","1,545,502","2,020,317","3,634,506","187,390","713,466","6,864,795","2,121","5,221","520,313","12,392","7,904","1,384","24,338","291,735","354,417","2,332","79,699","5,572","212,036","3,104","38,344","$10,325 ","$19,583 ","$8,096 ","$14,219 ","$6,477 ","$11,511 ","$5,398 ","$8,102 ","$4,845 ","$6,897 ","$5,124 ","$7,268 ","$3,033 ","$4,368 ","$4,657 ","$11,511 ","$2,874 ","$3,855 ",Yes,Yes,Yes,"569,763",646,"1,922,990",No,CA0084,16-17
ORANGE PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,407 E CHAPMAN AVE,ORANGE,92866,1594,(714) 288-2471,(714) 288-2410,http://www.cityoforange.org/library,4,Yes,,24,"140,882","8,269","18,749","27,018","113,864","57,444","8,379",1,2,0,0,3,3,"426,861","5,967",7.82,53,4.7,13,27.2,15.1,7.4,13,40.2,"$5,318,400 ","$5,134,565 ","$41,000 ",$0 ,"$64,978 ",$0 ,$0 ,"$42,500 ","$107,478 ","$142,835 ","$41,000 ","$4,637,805 ","$230,268 ","$119,404 ","$6,743 ","$70,463 ","$33,658 ","$126,147 ","$2,329,884 ","$1,025,454 ","$3,355,338 ","$159,287 ","$1,052,199 ","$4,832 ","$79,925 ","$41,000 ","94,723","12,510",0,"3,352","15,264","5,629","17,149",113,"4,822","2,339",6,"180,083","7,039",0,6,"5,010","13,491","2,339","72,850","180,083","214,954","271,080","12,338","67,406","541,270",148,102,"35,693","1,009",441,47,"1,039","27,544","29,990",308,"17,589",133,"9,955",80,"1,407","$10,232 ","$13,121 ","$7,548 ","$9,679 ","$6,831 ","$8,670 ","$6,499 ","$8,335 ","$4,405 ","$5,648 ","$4,867 ","$6,241 ","$3,608 ","$4,627 ","$6,499 ","$8,335 ","$2,868 ","$3,678 ",Yes,No,Yes,"98,896",77,"325,624",Yes,CA0085,16-17
ORLAND FREE LIBRARY,Glenn,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,333 MILL ST.,ORLAND,95963,1788,(530) 865-1640,-1,http://www.orlandfreelibrary.net,6,Yes,,660,"15,178",833,"1,474","2,307","12,871","9,564","1,656",1,0,0,0,1,1,"37,048","1,924",1,6,0,1,3,0,3,1,4,"$324,764 ","$320,146 ","$4,618 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$352,103 ","$8,785 ","$8,000 ",$0 ,$785 ,$0 ,"$8,000 ","$180,448 ","$121,233 ","$301,681 ",$0 ,"$41,637 ",$0 ,"$1,075 ",$0 ,"14,282","1,471",0,40,"1,221",74,"3,874",46,"1,226","5,412",0,"49,637","2,617",0,0,307,"1,173","5,412","33,884","49,637","60,190","9,328",479,888,"38,329",126,162,,278,136,0,0,"3,100","3,136",98,"1,960",38,"1,140",6,36,"$5,949 ","$5,871 ",,,,,,,,,,,"$2,593 ","$2,722 ",,,"$2,121 ","$2,184 ",No,No,Yes,"5,584",7,"25,433",No,CA0086,16-17
OXNARD PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,251 SOUTH A ST.,OXNARD,93030,5750,(805) 385-7500,(805) 385-7532,www.oxnard.org/library,4,Yes,,25,"207,772","17,869","30,751","48,620","159,152","142,215","54,681",1,1,0,1,3,3,"447,255","6,646",3.64,47,1,10.5,23.22,12.72,9.5,10.5,33.72,"$4,318,450 ","$3,982,052 ",$0 ,"$7,404 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$328,994 ",,"$3,881,986 ","$232,912 ","$158,310 ","$20,802 ","$36,496 ","$17,304 ","$179,112 ","$1,729,214 ","$1,119,072 ","$2,848,286 ",$0 ,"$800,788 ",$0 ,"$83,377 ","$115,617 ","113,098","14,559",348,"1,576","19,701","4,320","14,487",247,"9,138","193,523",6,"318,708","323,572","31,394",6,"6,487","10,950","193,523","191,051","319,056","547,020","199,941","25,407","3,873","350,375",204,258,"94,373","1,889",833,195,"1,062","9,841","11,521",562,"5,804",271,"4,037",28,618,"$5,166 ","$8,597 ",,,"$3,989 ","$6,713 ","$4,162 ","$6,456 ","$3,406 ","$5,282 ","$3,784 ","$5,870 ","$2,316 ","$5,282 ","$3,466 ","$5,282 ","$2,066 ","$3,592 ",Yes,Yes,Yes,"107,878",86,"47,827",Yes,CA0087,16-17
PACIFIC GROVE PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,550 CENTRAL AVE.,PACIFIC GROVE,93950,2789,(831) 648-5760,(831) 648-5762,http://www.pacificgrovelibrary.org,-1,No,,3,"15,498",633,"1,427","2,060","13,438","9,276","1,640",1,0,0,0,1,1,"147,620","2,403",1,18,0,5.5,6.25,0.75,5.5,5.5,11.75,"$1,212,930 ","$1,088,585 ","$30,000 ",$0 ,"$35,000 ",$0 ,$0 ,"$49,311 ","$84,311 ","$94,345 ",,"$1,077,837 ","$83,390 ","$50,567 ","$7,208 ","$15,248 ","$10,367 ","$57,775 ","$551,171 ","$212,301 ","$763,472 ","$24,130 ","$230,975 ",$0 ,"$13,898 ",$0 ,"18,838","3,678",0,456,"4,136",803,"5,205",120,"3,139","99,448",24,"65,969","7,327",0,24,"1,167","3,313","99,448","43,453","65,969","174,902","54,089",-1,"12,072","154,914","74,050","45,974","13,921",731,349,1,4,"13,255","14,739",221,"6,656",128,"6,599",32,"1,480","$9,071 ","$11,868 ",,,,,,,"$5,231 ","$6,847 ",,,"$3,865 ","$5,060 ",,,"$3,033 ","$3,689 ",Yes,Yes,No,"14,975",8,"54,670",No,CA0088,16-17
PALM SPRINGS PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 S. SUNRISE WAY,PALM SPRINGS,92262,7699,(760) 322-7323,(760) 322-7323,http://www.palmspringslibrary.org,4,No,0.25,106,"47,379",882,"1,648","2,530","44,849","24,783","2,249",1,1,0,0,2,2,"288,207","6,840",1.8,18,1,6,11,1,9,5,17,"$2,432,448 ","$2,432,448 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$2,432,447 ","$268,639 ","$112,605 ","$10,441 ","$69,362 ","$76,231 ","$123,046 ","$1,029,063 ","$717,955 ","$1,747,018 ",$0 ,"$416,790 ",$0 ,"$30,000 ",$0 ,"20,386","4,147",0,818,"9,025","3,457","22,483",135,"7,722","76,150",10,"98,772","1,621",0,10,"1,445","5,894","76,150","74,239","98,772","206,575","67,958","4,963","25,650","431,283",797,"1,462","20,405",376,117,36,954,"5,649","8,799",41,"1,328",76,"4,321",106,"2,196","$9,190 ","$12,360 ",,,"$5,610 ","$7,541 ",,,"$5,082 ","$6,834 ",,,,,"$6,339 ","$7,179 ","$2,920 ","$3,928 ",Yes,Yes,Yes,"82,256",42,,Yes,CA0090,16-17
PALMDALE CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,700 E. PALMDALE BLVD.,PALMDALE,93550,4742,(661) 267-5600,(661) 267-5600,http://www.cityofpalmdale.org/library,6,No,.10/page,103,"158,605","13,957","27,597","41,554","117,051","56,793","8,361",1,0,1,0,1,2,"193,422","3,266",0.24,15,0,2.75,8.5,1.13,7.37,2.75,11.25,"$1,326,024 ","$1,322,801 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,223 ",,"$1,322,801 ","$197,346 ","$95,372 ","$15,667 ","$59,896 ","$26,411 ","$111,039 ",$0 ,$0 ,$0 ,$0 ,"$1,125,455 ",$0 ,"$47,495 ",$0 ,"29,258","5,610",17,399,"3,022","1,205","3,663",144,"4,426",666,9,"62,993",59,0,9,"3,271","5,306",666,"28,125","63,010","70,514","167,776","14,282",829,"316,145",0,0,"32,706",486,173,49,338,"5,787","6,968",98,"3,154",75,"2,633",91,843,"$6,000 ","$6,000 ","$5,720 ","$6,006 ",$0 ,$0 ,,,"$3,000 ","$3,153 ",,,"$2,942 ","$3,033 ",,,"$1,430 ","$1,451 ",Yes,Yes,Yes,"39,885",28,"54,348",No,CA0089,16-17
PALO ALTO CITY LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,270 FOREST AVE,PALO ALTO,94301,2512,(650) 329-2516,(650) 329-2436,http://www.cityofpaloalto.org/library/,3,No,,26,"68,691","3,366","9,548","12,914","55,777","54,676","6,927",0,5,0,0,5,5,"1,031,054","13,520",1.64,105,0,29.05,34.72,33.72,1,27.05,63.77,"$9,386,325 ","$9,258,128 ","$4,021 ",$0 ,"$6,170,665 ",$0 ,$0 ,$0 ,"$6,170,665 ","$124,176 ",,"$8,953,401 ","$768,497 ","$317,476 ","$33,490 ","$281,292 ","$136,239 ","$350,966 ","$5,218,890 ","$1,474,001 ","$6,692,891 ","$764,414 ","$1,492,013 ",$0 ,"$118,504 ",$0 ,"92,543","13,306",0,"4,274","16,485","9,656","32,865",407,"9,872","91,994",54,"249,735","29,322","7,024",54,"8,327","19,859","91,994","143,886","249,735","391,540","766,273","74,105","97,154","1,524,614","16,713","8,014","34,294","2,952","1,038",333,"6,059","57,577","74,299",816,"48,211",222,"9,366",543,"10,663","$12,279 ","$18,417 ","$10,232 ","$15,347 ","$8,036 ","$12,054 ","$6,692 ","$10,039 ","$4,819 ","$5,916 ","$5,472 ","$6,718 ","$4,380 ","$5,377 ",$1 ,$1 ,"$4,143 ","$5,086 ",No,No,No,"149,962",138,"804,194",Yes,CA0091,16-17
PALO VERDE VALLEY LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 W. CHANSLORWAY,BLYTHE,92225,1245,(760) 922-5371,(760) 922-5371,http://www.blythelibrary.org,3,No,.30 b/w letter; .50 b/w legal,"1,003.00","38,395","1,104","2,377","3,481","34,914","11,110","3,163",1,0,0,0,1,1,"91,595","1,950",0.4,7,0,1,4.33,4.33,0,0,5.33,"$320,004 ","$305,742 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$14,262 ",,"$461,673 ","$19,947 ","$17,348 ","$1,287 ",$0 ,"$1,312 ","$18,635 ","$264,417 ","$84,407 ","$348,824 ",$0 ,"$92,902 ","$1,512 ","$2,496 ",$0 ,"15,996","2,519",0,125,"1,089",134,"1,251",30,999,0,0,"42,537",0,0,0,328,"1,045",0,"24,022","42,537","44,907","22,915",153,0,"49,696",0,61,"5,858",190,91,7,84,"2,626","2,736",69,"1,747",22,879,1,26,"$5,649 ","$5,734 ","$4,954 ","$4,954 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,No,No,No,"12,201",13,"4,820",No,CA0093,16-17
PALOS VERDES LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (exactly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,701 SILVER SPUR RD.,ROLLING HILLS ESTATE,90274,3603,(310) 377-9584,(310) 377-9584,http://www.pvld.org,4,Yes,,28,"69,239","2,385","9,111","11,496","57,743","43,871","8,242",1,3,0,0,4,4,"605,177","8,580",14,90,7,19,39,28,4,16,58,"$8,555,708 ","$7,667,121 ",$0 ,"$32,000 ",$0 ,$0 ,$0 ,"$128,000 ","$128,000 ","$856,587 ",,"$8,700,292 ","$473,405 ","$172,634 ","$34,431 ","$200,000 ","$66,340 ","$207,065 ","$4,852,700 ","$1,319,900 ","$6,172,600 ","$212,084 ","$2,054,287 ",$0 ,"$73,153 ",$0 ,"52,384","5,740",0,"1,606","15,869","3,101","19,215",717,"6,607","20,762",29,"216,601","1,160","3,500",29,"4,869","8,154","20,762","158,477","216,601","273,193","312,332","17,930","40,247","638,197",735,252,"60,443","1,991",822,65,"1,167","31,762","41,676",727,"28,221",95,"3,541",282,"8,747","$14,803 ","$14,803 ","$10,569 ","$13,199 ","$9,341 ","$11,666 ","$8,463 ","$10,569 ","$5,700 ","$7,119 ","$6,292 ","$7,858 ","$4,679 ","$5,843 ",$0 ,$0 ,"$3,479 ","$4,345 ",Yes,Yes,Yes,"51,987",48,"322,253",No,CA0092,16-17
PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,285 E. WALNUT ST.,PASADENA,91101,1598,(626) 744-4066,(626) 744-4066,http://cityofpasadena.net/library,3,No,,23,"143,333","11,072","15,021","26,093","117,240","307,909","69,189",1,8,0,1,10,10,"1,029,760","23,932",0.75,138,6,28.5,76.06,44.06,26,28.5,104.56,"$14,688,942 ","$14,566,802 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$122,140 ",,"$14,688,942 ","$874,087 ","$540,324 ","$6,357 ","$244,104 ","$83,302 ","$546,681 ","$5,017,592 ","$3,821,822 ","$8,839,414 ",$0 ,"$4,975,441 ",$0 ,"$182,409 ",$0 ,"219,329","19,084",,"1,097","20,352","4,697","22,695",642,"16,122","26,695",-1,"591,046","6,643",224,-1,"16,751","42,210","26,695","352,633","591,046","661,429","422,190","21,571","82,893","1,079,081","46,146","24,800","88,168","4,749","1,810",223,"4,376","44,645","66,764",940,"26,167",870,"18,478",906,"17,743","$12,233 ","$15,300 ","$10,200 ","$12,750 ","$6,361 ","$7,957 ","$5,219 ","$6,836 ","$4,965 ","$5,894 ",$0 ,$0 ,"$3,893 ","$4,862 ","$6,709 ","$8,386 ","$3,411 ","$4,261 ",Yes,No,No,"159,840",158,"488,843",No,CA0094,16-17
PASO ROBLES CITY LIBRARY,San Luis Obispo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,1000 SPRING ST.,PASO ROBLES,93446,2599,(805) 237-3870,(805) 237-3870,http://www.prcity.com/library,4,Yes,,17,"31,745","2,031","6,666","8,697","23,048","14,604","1,810",1,0,0,1,2,2,"173,207","3,221",6.9,15,1,3,5.8,4.8,0,1,8.8,"$2,025,609 ","$1,989,986 ",$0 ,$0 ,"$203,168 ",$0 ,$0 ,$0 ,"$203,168 ","$35,623 ",,"$2,025,609 ","$57,461 ","$28,243 ","$3,769 ","$15,275 ","$10,174 ","$32,012 ","$601,240 ","$464,949 ","$1,066,189 ","$10,530 ","$901,959 ",$0 ,"$9,302 ",$0 ,"23,411","2,634",133,810,"5,086","1,366","7,544",70,"2,422","92,226",10,"60,255","14,154",873,10,"1,484","4,341","92,226","34,210","60,388","165,324","96,475","6,019","31,395","286,018","20,438","16,036","15,585",747,335,12,333,"9,268","10,697",229,"5,783",106,"3,485",65,"1,096","$8,638 ","$10,977 ",,,,,,,,,"$4,819 ","$6,122 ","$3,870 ","$4,917 ","$4,819 ","$6,122 ",,,No,No,No,"26,136",18,"111,322",No,CA0095,16-17
