Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Literacy Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Reference Questions,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs,Children's Program Attendance,# of Young Adult Programs,Young Adult Program Attendance,# of Adult Programs,Adult Program Attendance,"Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,Vulnerable populations,Personal economic development,Crisis support,Personal learning and knowledge development,Social capital,FSCS ID,Fiscal Year
CALAVERAS COUNTY LIBRARY,Calaveras,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1299 GOLD HUNTER ROAD,SAN ANDREAS,95249,9709,2097546510,(209) 754-6510,www.calaveraslibrary.com,"1,027.00","45,117","26,096","6,116",1,7,0,8,"33,800","$507,825 ","$26,827 ",$0 ,"$79,473 ","$614,125 ","$26,827 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$330,022 ","$50,131 ","$380,153 ","$19,425 ",$803 ,"$20,228 ","$4,750 ","$17,244 ","$42,222 ","$173,507 ","$595,882 ",$0 ,25,1,1,9.6,10.6,4.75,"32,092","3,985","121,551","8,507","7,082","7,790","10,749","22,967",7,4,11,5,"10,036","67,336","7,487","112,395","30,533",153,"6,233","4,007","10,240","118,628","122,635","4,391","1,818",461,"9,697",14,153,137,"1,593",23,"1,552",612,"11,443",No,"15,756","63,441","16,222",35,Yes,Yes,Yes,Yes,Yes,CA0018,18-19
CAMARENA MEMORIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,850 ENCINAS AVE.,CALEXICO,92231,2559,7607682170,(760) 768-7480,https://calexicolibrary.org,7,"42,198","13,767","8,076",1,1,0,2,"16,560","$654,703 ","$24,635 ",$0 ,$0 ,"$679,338 ","$24,635 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$302,179 ","$181,307 ","$483,486 ","$18,685 ","$3,414 ","$22,099 ","$7,619 ",$0 ,"$29,718 ","$201,243 ","$714,447 ",$0 ,6,2,3,2,5,4.64,"36,749","5,551","68,946","73,331",853,"2,009",839,0,9,4,13,58,"3,177","80,332","20,344","22,827","13,343","4,711",202,,202,"23,029","23,029",2,2,348,"9,484",15,94,57,"1,412",6,"1,500",420,"10,990",No,"6,280",,"1,392",42,Yes,Yes,Yes,Yes,Yes,CA0019,18-19
CAMARILLO PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,4101 LAS POSAS RD,CAMARILLO,93010,2539,(805) 388-5222,(805) 388-5811,http://camarillolibrary.org,19,"69,623","94,410","12,439",1,0,0,1,"65,621","$507,899 ","$27,832 ",$0 ,"$507,245 ","$1,042,976 ","$27,832 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$136,117 ","$129,198 ","$265,315 ","$196,489 ","$5,175 ","$201,664 ","$170,562 ",$0 ,"$372,226 ","$2,716,964 ","$3,354,505 ","$334,186 ",37,6,6,17.9,23.9,5.34,"85,703","11,115","181,546","16,193","10,065","3,523","19,466",0,24,0,24,142,"3,289","391,894","35,974","604,842","313,349","7,504","73,525","122,386","195,911","678,367","800,753",0,71,572,"24,533",68,"1,660",297,"9,568",54,"1,798",937,"35,761",Yes,"43,307","154,601","304,664",122,Yes,Yes,Yes,Yes,Yes,CA0209,18-19
CARLSBAD CITY LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1775 DOVE LANE,CARLSBAD,92011,4048,7606022011,(760) 602-2038,http://www.carlsbadlibrary.org,40,"115,241","107,075",,1,2,0,3,"99,993","$13,700,250 ","$54,907 ",$0 ,$0 ,"$13,755,157 ","$54,907 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,134,162 ","$1,888,611 ","$7,022,773 ","$490,092 ","$120,842 ","$610,934 ","$338,520 ","$142,435 ","$1,091,889 ","$4,404,219 ","$12,518,881 ",$0 ,211,25.78,25.78,76.02,101.8,9.5,"101,818","6,990","256,531","15,407","29,448","7,438","16,188",0,29,2,31,445,"9,776","668,973","195,258","1,030,981","555,344","8,331","122,056","82,327","204,383","1,153,037","1,235,364",248,58,"1,211","48,354",95,"1,147",963,"22,409",179,"10,406","2,269","71,910",No,"93,633","492,157","138,691",125,Yes,Yes,Yes,Yes,Yes,CA0020,18-19
CERRITOS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,18025 BLOOMFIELD AVE.,CERRITOS,90703,8525,5629161350,(562) 916-1342,http://www.cerritoslibrary.us,9,"50,711","23,861","6,875",1,0,0,1,"88,000","$6,057,000 ",$0 ,"$7,727 ","$16,800 ","$6,081,527 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,183,580 ","$2,070,540 ","$5,254,120 ","$262,250 ","$25,000 ","$287,250 ","$120,643 ","$24,500 ","$432,393 ","$370,487 ","$6,057,000 ",$0 ,100,0,7,37,44,4,"99,544","9,098","227,141","8,268","6,207","3,552","11,797","1,086",29,1,30,264,"3,365","451,212","66,015","351,985","214,888","17,700","18,760","186,861","205,621","370,745","557,606",405,226,444,"15,538",16,234,69,"1,811",0,0,529,"17,583",No,"87,864","195,000","201,544",151,Yes,Yes,No,Yes,Yes,CA0022,18-19
CHULA VISTA PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,365 F ST.,CHULA VISTA,91910,2697,6196915069,(619) 691-5069,http://www.chulavistalibrary.com,50,"271,411","126,450","21,105",1,2,0,3,"97,412","$3,629,303 ","$78,518 ","$4,901 ","$463,443 ","$4,176,165 ","$78,518 ",$0 ,$0 ,$0 ,"$43,429 ","$43,429 ","$2,469,247 ","$988,813 ","$3,458,060 ","$62,557 ","$4,066 ","$66,623 ","$30,804 ","$9,103 ","$106,530 ","$201,994 ","$3,766,584 ",$0 ,89,14.33,15.33,24.9,40.23,8.05,"104,043","13,529","264,057","8,049","12,915","1,290","17,534",0,9,0,9,87,"8,566","1,655,766","116,413","677,430","279,007","43,564","20,567","8,166","28,733","697,997","706,163",0,0,"1,504","55,064",168,"1,952",622,"13,604",0,0,"2,294","70,620",Yes,"88,544","248,948","53,578",121,No,Yes,No,Yes,Yes,CA0023,18-19
CITY OF COMMERCE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,5655 JILLSON ST.,COMMERCE,90040,1485,3237226660,(323) 722-6660,http://www.cocpl.org,7,"13,021","34,797","6,082",1,3,0,4,"26,902","$3,788,037 ","$64,061 ",$0 ,$0 ,"$3,852,098 ","$64,061 ","$25,660 ","$30,000 ",$0 ,$0 ,"$55,660 ","$2,644,277 ","$907,591 ","$3,551,868 ","$186,467 ","$7,181 ","$193,648 ","$93,848 ",$0 ,"$287,496 ","$341,015 ","$4,180,379 ",$0 ,66,6,9,32.5,41.5,1,"45,464","6,483","92,764",924,"8,091","2,972","18,333",0,16,4,20,164,"8,944","271,105","6,690","141,451","52,204","12,013","7,436","3,876","11,312","148,887","152,763",0,86,488,"10,255",185,"1,123",340,"3,781",41,"2,586","1,013","15,159",Yes,"53,548","268,824","75,976",68,Yes,Yes,No,Yes,Yes,CA0027,18-19
COALINGA-HURON LIBRARY DISTRICT,Fresno,Special District Library,School District (most nearly),Member of a Federation or Cooperative,School District,San Joaquin Valley Library System,305 N. FOURTH ST.,COALINGA,93210,2896,5599351676,(559) 935-1676,http://www.coalingahuronlibrary.org/,"1,100.00","27,790","5,789","1,339",1,1,0,2,"14,546","$894,114 ","$20,000 ","$2,200 ","$77,253 ","$993,567 ",$0 ,"$510,002 ",$0 ,$0 ,$0 ,"$510,002 ","$446,705 ","$247,800 ","$694,505 ","$63,117 ","$4,673 ","$67,790 ","$7,470 ",$0 ,"$75,260 ","$170,881 ","$940,646 ","$1,412,561 ",11,1,1,10,11,1,"25,079","5,724","70,125",823,"3,732",212,"3,732",12,10,3,13,70,"4,456","54,951","4,591","37,282","7,367",556,733,,733,"38,015","38,015","19,275","43,751",187,"2,306",64,574,44,154,19,"1,796",295,"3,034",Yes,"11,257","69,917","6,000",62,No,No,No,Yes,Yes,CA0024,18-19
COLTON PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,656 N. 9TH ST.,COLTON,92324,2807,9093705083,-1,http://www.ci.colton.ca.us/Pages/librarywelcome.htm,18,"54,391","54,321","6,708",1,1,0,2,"13,675","$299,494 ","$78,360 ","$58,992 ",$0 ,"$436,846 ","$78,360 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$233,504 ","$41,105 ","$274,609 ","$13,013 ","$3,142 ","$16,155 ",$0 ,"$10,508 ","$26,663 ","$54,645 ","$355,917 ",$0 ,10,2,2,1,3,1,"20,727","4,883","73,827",0,"5,252",0,"5,061",0,0,0,0,106,"2,704","54,775",725,"24,855","14,594",994,0,0,0,"24,855","24,855",0,14,135,"3,525",19,534,64,"3,260",1,"1,150",218,"7,319",Yes,"13,437",630,"2,271",24,Yes,Yes,Yes,Yes,Yes,CA0025,18-19
COLUSA COUNTY FREE LIBRARY,Colusa,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,738 MARKET ST.,COLUSA,95932,2327,5304580372,(530) 458-7671,http://www.countyofcolusa.org/library,"1,151.00","22,117","4,913",756,1,6,0,7,"17,427","$872,335 ","$22,576 ",$0 ,"$65,701 ","$960,612 ","$22,576 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$459,623 ","$304,713 ","$764,336 ","$41,050 ","$3,224 ","$44,274 ","$5,591 ","$16,662 ","$66,527 ","$129,749 ","$960,612 ","$9,581 ",17,1,2,8,10,0.5,"29,045","3,649","69,422","113,500","1,686","3,417","4,967",0,2,4,6,56,"6,660","35,289","2,506","76,933","44,788",649,"1,111",135,"1,246","78,044","78,179",90,80,"1,340","7,219",414,604,270,"2,367",27,"2,227","2,024","10,190",Yes,"10,586","5,250","45,942",35,Yes,Yes,Yes,Yes,Yes,CA0026,18-19
CONTRA COSTA COUNTY LIBRARY,Contra Costa,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,"777 ARNOLD DRIVE, SUITE 210",MARTINEZ,94553,3633,9256087700,(925) 646-6434,http://ccclib.org,681,"1,045,443","425,237","68,282",0,26,0,26,"372,309","$33,385,527 ","$100,127 ",$0 ,"$3,091,426 ","$36,577,080 ","$74,937 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$13,628,968 ","$7,905,813 ","$21,534,781 ","$2,366,178 ","$92,473 ","$2,458,651 ","$672,240 ","$957,149 ","$4,088,040 ","$7,106,034 ","$32,728,855 ","$215,372 ",242,73.8,73.8,130.9,204.7,61.64,"482,677","37,946","1,002,067","157,149","53,574","14,637","78,299",0,21,4,25,"1,263","56,875","3,540,968",,"5,911,465","2,939,017","83,550","599,774","715,034","1,314,808","6,511,239","7,226,273","26,486","73,981","5,656","224,573","1,467","19,967","3,658","51,795",445,"32,832","10,781","296,335",No,"441,905","3,592,202","461,191",621,Yes,Yes,Yes,Yes,Yes,CA0028,18-19
CORONA PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,650 SOUTH MAIN ST.,CORONA,92882,3417,9517362381,(951) 736-2404,http://www.coronaca.gov/library,38,"168,101","135,341","84,202",1,0,1,2,"62,300","$2,895,447 ","$89,351 ","$1,377 ","$43,896 ","$3,030,071 ","$89,351 ","$10,231 ",$0 ,$0 ,$0 ,"$10,231 ","$1,495,558 ","$947,822 ","$2,443,380 ","$71,000 ","$2,500 ","$73,500 ","$59,255 ","$6,000 ","$138,755 ","$567,402 ","$3,149,537 ","$10,231 ",44,7,7,18.32,25.32,28,"49,192","5,280","96,992","59,783","3,732",537,"4,855",13,4,4,8,25,"3,055","348,807","20,444","319,032","231,886","13,429","22,751","69,384","92,135","341,783","411,167",0,0,431,"28,400",261,"3,139",247,"8,149",173,"6,265",939,"39,688",Yes,"30,428","269,461","38,165",50,Yes,Yes,No,Yes,Don't know,CA0029,18-19
CORONADO PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,640 ORANGE AVE.,CORONADO,92118,1526,6195227390,(619) 522-2484,http://www.coronado.ca.us/library,5,"24,199","26,591","3,439",1,0,0,1,"40,000","$3,121,220 ",$0 ,$0 ,"$18,979 ","$3,140,199 ",$0 ,"$100,000 ",$0 ,$0 ,$0 ,"$100,000 ","$1,526,733 ","$639,022 ","$2,165,755 ","$150,700 ","$18,293 ","$168,993 ","$137,651 ","$61,874 ","$368,518 ","$775,569 ","$3,309,842 ","$41,469 ",41,9.75,11.75,14.5,26.25,1.69,"45,141","6,882","154,225","7,795","12,807","1,326","27,435","30,000",31,3,34,317,"3,317","293,649","32,703","223,198","66,679","2,921","22,698","153,373","176,071","245,896","399,269",173,66,351,"17,393",84,"1,328",261,"7,007",,,696,"25,728",No,"35,133","80,091","33,179",22,Yes,Yes,No,Yes,Yes,CA0160,18-19
COVINA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,234 N. SECOND AVE.,COVINA,91723,2198,6263845297,(626) 384-5303,http://www.covinaca.gov/library,7,"48,876","39,468","5,395",1,0,0,1,"20,144","$839,658 ","$57,940 ","$32,104 ","$77,275 ","$1,006,977 ","$57,940 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$516,286 ","$163,568 ","$679,854 ","$26,933 ","$5,126 ","$32,059 ","$7,500 ","$5,067 ","$44,626 ","$235,828 ","$960,308 ",$0 ,23,1,1,9.23,10.23,3.48,"36,545","4,144","93,067","20,174","5,455","8,380","3,996",268,3,1,4,81,"1,865","187,098","29,090","105,103","65,272","2,734","3,200",,"3,200","108,303","108,303",75,7,202,"8,926",12,291,115,784,12,"1,227",329,"10,001",Yes,"19,581",,,36,Yes,Yes,No,Yes,Yes,CA0030,18-19
CROWELL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1890 HUNTINGTON DR.,SAN MARINO,91108,2542,6263000779,(626) 300-0777,http://crowellpubliclibrary.org,4,"13,352","35,448","8,091",1,0,0,1,"29,000","$1,365,023 ",$0 ,$0 ,"$84,045 ","$1,449,068 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$824,132 ","$219,329 ","$1,043,461 ","$107,033 ","$7,249 ","$114,282 ","$30,118 ","$7,249 ","$151,649 ","$242,315 ","$1,437,425 ",$0 ,46,4.72,4.72,13.62,18.34,0.51,"32,660","5,370","61,333","12,077","4,855","4,573","2,876",0,19,1,20,107,"3,089","289,443","18,443","235,774","150,136","32,227","8,636","46,019","54,655","244,410","290,429",133,50,205,"7,404",27,343,229,"5,943",7,"1,329",461,"13,690",No,"39,318","62,660","40,687",40,Yes,Yes,Yes,Yes,Yes,CA0119,18-19
DALY CITY PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,111 LAKE MERCED BOULEVARD,DALY CITY,94015,1048,6509918001,(650) 991-8023,http://www.dalycity.org/library,8,"109,122","45,721","8,549",1,3,0,4,"38,300","$3,386,467 ",$0 ,$0 ,"$45,000 ","$3,431,467 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,528,712 ","$783,163 ","$2,311,875 ","$161,530 ","$16,183 ","$177,713 ","$40,913 ","$19,997 ","$238,623 ","$1,119,935 ","$3,670,433 ",$0 ,40,7.3,7.3,14.2,21.5,0.1,"73,777","8,739","192,761","51,432","12,341","16,861","16,826","17,161",16,2,18,242,"5,816","299,106",,"391,121","198,083","15,379","38,456","10,647","49,103","429,577","440,224","72,151","48,170",446,"15,143",76,"2,360",27,380,57,"3,035",549,"17,883",No,"42,717","111,349","417,445",54,Yes,Yes,No,Yes,Yes,CA0031,18-19
DEL NORTE COUNTY LIBRARY DISTRICT,Del Norte,Special District Library,County/Parish (exactly),Member of a Federation or Cooperative,Library District,NorthNet Library System,190 PRICE MALL,CRESCENT CITY,95531,4395,7074649793,-1,http://www.delnortecountylibrary.org,"1,003.00","27,401","23,987","2,168",1,0,0,1,"6,250","$199,541 ","$24,118 ","$48,000 ","$3,174 ","$274,833 ","$21,216 ","$184,485 ","$4,000 ",$0 ,"$8,000 ","$196,485 ","$126,000 ","$17,500 ","$143,500 ","$10,000 ","$1,200 ","$11,200 ","$3,000 ",$0 ,"$14,200 ","$68,591 ","$226,291 ",$0 ,10,0,1,3,4,1,"13,500","3,525","54,059",0,"1,500","4,500","3,526",0,2,0,2,20,"2,408","55,369","4,128","44,452","11,365",206,"3,526",,"3,526","47,978","47,978",0,0,250,"5,865",5,28,12,158,,,267,"6,051",Yes,"15,320","4,289","19,256",18,Yes,Don't know,No,Yes,Don't know,CA0032,18-19
DIXON PUBLIC LIBRARY DISTRICT,Solano,Special District Library,School District (exactly),Member of a Federation or Cooperative,School District,NorthNet Library System,230 N. FIRST ST.,DIXON,95620,3028,7076785447,(707) 693-2746,http://www.dixonlibrary.com,196,"29,064","5,259",-1,1,0,0,1,"8,000","$1,394,446 ",$0 ,"$8,436 ","$113,295 ","$1,516,177 ",$0 ,"$103,409 ",$0 ,$0 ,"$11,470 ","$114,879 ","$509,971 ","$255,644 ","$765,615 ","$50,229 ","$4,960 ","$55,189 ","$18,644 ","$5,397 ","$79,230 ","$379,469 ","$1,224,314 ","$52,137 ",20,2.9,3.15,7.8,10.95,0,"19,269","4,296","44,931","25,279","2,074","12,209","3,136",712,15,3,18,109,"2,644","72,800","12,346","54,787","13,634","1,094","4,881",549,"5,430","59,668","60,217","18,204","10,479",209,"8,607",2,48,78,"1,234",17,"2,389",289,"9,889",Yes,"8,611","25,739",,12,Yes,Yes,No,Yes,No,CA0033,18-19
DOWNEY CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11121 BROOKSHIRE AVE.,DOWNEY,90241,3860,5629047360,(562) 904-7364,http://www.downeylibrary.org,13,"114,212","87,458","25,030",1,0,0,1,"27,400","$2,165,364 ","$38,606 ","$16,848 ",$0 ,"$2,220,818 ","$38,606 ","$8,400,000 ",$0 ,$0 ,$0 ,"$8,400,000 ","$982,980 ","$346,934 ","$1,329,914 ","$167,800 ",$0 ,"$167,800 ","$96,500 ",$0 ,"$264,300 ","$626,604 ","$2,220,818 ","$923,000 ",41,2.3,3.3,19,22.3,4,"40,465","4,707","88,751","2,462","2,726",384,"4,842",0,0,1,1,150,"1,898","181,821","21,982","198,987","120,009","9,616","11,827",,"11,827","210,814","210,814",130,10,172,"4,422",23,227,65,612,80,"1,021",260,"5,261",Yes,"28,320",,,35,No,No,No,Yes,Yes,CA0034,18-19
EL CENTRO PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1140 N. IMPERIAL AVE.,EL CENTRO,92243,2973,(760) 337-4543,(760) 337-4565,http://www.cityofelcentro.org/library/,8,"46,248","6,113",294,1,1,0,2,"14,163","$658,986 ",$0 ,$0 ,$0 ,"$658,986 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$374,914 ","$166,702 ","$541,616 ","$48,000 ","$4,440 ","$52,440 ","$16,403 ","$10,516 ","$79,359 ","$117,370 ","$738,345 ",$0 ,11,1,1,10,11,7,"39,061","1,131","101,299",0,"1,124",0,"1,410",0,4,1,5,79,"3,600","124,342",582,"44,470","26,598","2,381",0,-1,-1,"44,470","44,469",32,22,209,"9,651",0,0,48,273,0,0,257,"9,924",Yes,"22,065",-1,-1,24,No,No,No,No,No,CA0035,18-19
EL DORADO COUNTY LIBRARY,El Dorado,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,345 FAIR LANE,PLACERVILLE,95667,5699,5306215540,(530) 621-5545,http://www.eldoradolibrary.org/,"1,725.90","191,848","95,957","12,000",1,5,1,7,"67,384","$2,949,636 ","$278,353 ","$8,483 ","$369,204 ","$3,605,676 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,820,456 ","$914,465 ","$2,734,921 ","$172,793 ","$20,194 ","$192,987 ","$56,034 ","$28,005 ","$277,026 ","$593,730 ","$3,605,677 ",$0 ,51,5,6,29.85,35.85,9.66,"104,509","19,280","292,007","144,041","15,785","11,692","16,295",0,0,3,3,233,"10,396","426,371","13,040","746,826","349,311","3,947","69,448","14,475","83,923","816,274","830,749",363,123,"1,347","43,615",135,"1,061",257,"3,169",79,"1,220","1,739","47,845",No,"39,233",,,44,Yes,Yes,No,Yes,Yes,CA0036,18-19
EL SEGUNDO PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,111 W. MARIPOSA AVE.,EL SEGUNDO,90245,2299,3105242722,(310) 524-2728,http://eslib.org,5,"17,066","16,679","3,065",1,4,0,5,"40,173","$2,342,546 ","$28,192 ","$2,000 ","$24,000 ","$2,396,738 ",$0 ,"$100,000 ",$0 ,$0 ,$0 ,"$100,000 ","$1,341,581 ","$534,434 ","$1,876,015 ","$91,669 ","$7,901 ","$99,570 ","$34,195 ","$8,117 ","$141,882 ","$330,000 ","$2,347,897 ","$80,000 ",30,5,6,13.41,19.41,1,"90,172","9,211","130,059","21,632","5,221","7,179","4,548",0,11,2,13,91,"7,830","225,821","46,756","152,207","105,175",283,"11,123","79,813","90,936","163,330","243,143",49,152,146,"3,929",10,34,143,"3,159",16,192,299,"7,122",No,"11,356","28,589","79,191",63,Yes,Yes,No,Yes,Yes,CA0037,18-19
ESCONDIDO PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,239 S. KALMIA ST.,ESCONDIDO,92025,4224,7608394601,(760) 839-4839,http://www.escondidolibrary.org,37,"152,739","69,011","12,851",1,2,0,3,"85,000","$2,795,000 ","$106,991 ",$0 ,"$35,441 ","$2,937,432 ","$106,991 ","$30,000 ",$0 ,$0 ,"$30,000 ","$60,000 ","$1,287,146 ",$0 ,"$1,287,146 ","$146,831 ","$5,913 ","$152,744 ","$53,745 ","$31,606 ","$238,095 ","$623,282 ","$2,148,523 ","$89,199 ",31,7,7,16,23,15.15,"36,142","8,289","122,755","6,715","3,596","1,040","20,798",65,17,1,18,106,"4,212","396,166","92,311","421,375","170,882","20,558","44,264","17,897","62,161","465,639","483,536",0,123,303,"13,957",41,487,106,"2,512",68,"6,112",450,"16,956",Yes,"53,480","309,878","158,345",96,Yes,Yes,No,Yes,Yes,CA0038,18-19
FOLSOM PUBLIC LIBRARY,Sacramento,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,411 STAFFORD ST,FOLSOM,95630,2643,(916) 461-6137,(916) 461-6131,http://library.folsom.ca.us,22,"79,835","32,989","6,088",1,0,0,1,"24,000","$1,792,056 ","$7,442 ","$4,100 ","$57,066 ","$1,860,664 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$853,448 ","$531,190 ","$1,384,638 ","$146,540 ","$3,701 ","$150,241 ","$30,568 ","$22,400 ","$203,209 ","$272,816 ","$1,860,663 ",$0 ,25,3,4,12.38,16.38,3,"38,792","3,290","76,134","22,779","3,548","11,248","10,340",45,12,4,16,74,"2,439","275,825","17,984","721,111","461,181","7,228","36,589","8,133","44,722","757,700","765,833","73,329","72,864",655,"30,987",46,708,263,"3,552",65,"4,468",964,"35,247",Yes,"27,838","131,895",,27,Yes,Yes,No,Yes,Yes,CA0193,18-19
FRESNO COUNTY PUBLIC LIBRARY,Fresno,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2420 MARIPOSA ST.,FRESNO,93721,2285,5596006237,(559) 600-7323,http://www.fresnolibrary.org,"4,999.48","990,451","271,443","49,580",1,36,1,38,"285,915","$30,285,000 ","$246,000 ","$42,000 ","$2,364,000 ","$32,937,000 ","$138,427 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$10,796,000 ","$8,639,000 ","$19,435,000 ","$767,725 ","$88,156 ","$855,881 ","$769,392 ","$903,643 ","$2,528,916 ","$6,027,020 ","$27,990,936 ","$336,000 ",326,54,54,216.7,270.7,22,"276,477","58,507","734,929","55,849","87,078","20,861","103,024",705,55,2,57,921,"78,376","2,651,686","208,215","2,547,469","900,867","61,119","574,600","525,470","1,100,070","3,122,069","3,647,539",13,885,"3,473","64,893",878,"8,945","2,550","36,308",634,"24,234","6,901","110,146",Yes,"467,891","2,563,054","111,111",375,Yes,Yes,No,Yes,Yes,CA0040,18-19
