Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,# of Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded,Electronic Collections State Funded (no more than 6),# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge late fines?,Charge per day for Adults,For Young Adults,For Children,Do you lend laptops?,Do you lend hot spots?,Circulation of Childrens Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,Circulation of Other Physical Items,Physical Item Circulation,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Total Program Attendance,# of Children's Programs (calculated),Children's Program Attendance,# of Pre School Programs,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Pre-School Program Attendance,Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of School Aged Programs,# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",School Aged Program Attendance,Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs,# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance,Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs,# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance,Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of Programs for all ages,# of Programs for all ages (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance,General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Website visits,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,# of self-directed activities,# of participants,Describe activities,FSCS ID,Fiscal Year
MONTEREY COUNTY FREE LIBRARIES,Monterey,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,188 SEASIDE CIRCLE,MARINA,93933,2500,(831) 883-7573,(831) 899-2055,www.eMCFL.org,"3,125.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"229,171","118,472","12,169",0,16,3,19,"82,572","$9,901,356 ","$190,539 ","$645,539 ","$689,599 ","$11,427,033 ",$0 ,"$225,000 ",$0 ,"$242,000 ","$467,000 ","$3,680,123 ","$2,082,329 ","$5,762,452 ","$240,636 ","$9,993 ","$250,629 ","$65,946 ","$17,420 ","$333,995 ","$3,210,956 ","$9,307,403 ","$215,993 ",77,12.5,17.5,53,70.5,7,"116,824","17,204","331,639","9,131","20,807",271,"361,848",140,"95,872","12,344",0,12,6,18,"1,082","9,880",Annual Estimate Based on Typical Week(s),"13,704",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,Yes,"154,786","22,585",16,0,342,"173,912","69,663","113,262",,"182,925","356,837",Yes,131,"1,709",72,"1,258",,32,16,16,,537,110,427,,40,20,20,,721,207,514,,27,12,15,,59,37,22,,30,10,20,,372,220,152,,2,0,2,,20,0,20,11,549,402,0,"8,200",Yes,"2,230",Annual Count,"154,849","27,808",Annual Count,242,153,"18,831","From July 2020 through June 2021, MCFL distributed grab & go activity kits geared towards school age children. Topics were often STEAM focused, but also included arts & crafts, ""Back to School Supplies"", ""Trick-or-Treat"", ""Thankful for Our Firefighters"", and activities to celebrate Dia de los Ninos. STEAM topics included chromatography, catapults, origami bookmarks, LED circuits, slime and more. Number includes kits distributed at Lunch at the Library.",CA0073,20-21
MONTEREY PARK BRUGGEMEYER LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,318 S. RAMONA AVENUE,MONTEREY PARK,91754,3399,(626) 307-1269,(626) 307-1368,www.montereypark.ca.gov/Library,8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"60,380","39,967","2,651",1,0,0,1,"52,880","$2,070,111 ","$38,126 ","$178,845 ",$0 ,"$2,287,082 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,118,268 ","$799,849 ","$1,918,117 ","$44,705 ","$1,971 ","$46,676 ","$10,359 ","$3,094 ","$60,129 ","$315,475 ","$2,293,721 ",$0 ,18,6,7,11,18,0.44,"43,987","3,370","88,472","3,769","5,904",107,"98,252",47,"43,987","5,272",263,1,6,7,168,"4,597",Annual Count,"4,478",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"26,233","1,721",18,0,"4,471","32,426","9,709","6,219",,"15,928","48,354",Yes,634,"10,155",213,"5,849",,204,0,204,,"3,384",0,"3,384",,9,5,4,,"2,465","2,231",234,,25,5,20,,111,30,81,,396,6,390,,"4,195",145,"4,050",,0,0,0,,0,0,0,5,"2,231",253,"1,060","7,852",Yes,154,Annual Count,"35,010","9,878",Annual Count,61,26,"1,099",craft kits,CA0075,20-21
MONTEREY PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,625 PACIFIC ST.,MONTEREY,93940,2866,(831) 646-5669,(831) 646-3933,https://www.monterey.org/library,8,Yes,Yes,Yes,Yes,Yes,No,No,No,"28,382","32,266","4,830",1,0,1,2,"24,285","$1,298,649 ","$4,239 ",$0 ,"$209,603 ","$1,512,491 ",$0 ,$0 ,$0 ,"$169,969 ","$169,969 ","$655,445 ","$201,943 ","$857,388 ","$37,323 ",$0 ,"$37,323 ","$19,028 ","$4,042 ","$60,393 ","$594,710 ","$1,512,491 ",$0 ,16,2.86,2.86,5.16,8.02,1.88,"27,337","3,229","85,387","4,787","8,887",7,"99,068",1,"172,601","9,458",0,15,6,21,0,0,Annual Count,"1,800",Annual Estimate Based on Typical Week(s),Yes,$0.50 ,$0.25 ,$0.25 ,No,No,"51,142",824,"30,661","42,641",0,"156,573","46,087","13,798",,"59,885","216,458",Yes,80,"1,873",3,20,,3,0,3,,20,0,20,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,76,0,76,,"1,830",0,"1,830",,1,0,1,,23,0,23,0,0,88,924,716,No,0,Annual Count,"112,143","2,124",Annual Count,28,13,740,Take home steam activities,CA0074,20-21
MOORPARK CITY LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,699 MOORPARK AVENUE,MOORPARK,93021,1115,(805) 517-6370,(805) 517-6370,http://www.moorparklibrary.org,12,Yes,Yes,Yes,Yes,Yes,No,No,No,"35,981","10,674","1,761",1,0,0,1,"7,700","$1,070,520 ",$0 ,$0 ,$0 ,"$1,070,520 ","$86,249 ",$0 ,$0 ,$0 ,"$86,249 ","$313,560 ","$106,099 ","$419,659 ","$28,156 ",$0 ,"$28,156 ","$30,822 ","$6,165 ","$65,143 ","$585,718 ","$1,070,520 ",$0 ,9,3,3,4.5,7.5,0,"15,617","4,371","33,215","1,498","5,954",153,"40,820",0,"161,798",279,"26,929",1,4,5,"1,334","13,191",Annual Count,160,Annual Count,Yes,$0.20 ,$0.20 ,$0.20 ,No,No,"24,062",247,"4,960","6,052",66,"38,589","11,467",-1,,"11,467","50,056",No,134,668,46,128,,,,,,,,,,,,,,,,,5,10,0,5,11,22,0,11,39,78,0,39,259,518,0,259,0,0,,,0,0,,,2,92,53,921,-1,Yes,525,Annual Count,"22,728",-1,Annual Count,16,0,0,,CA0208,20-21
MORENO VALLEY PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,25480 ALESSANDRO BLVD,MORENO VALLEY,92553,4368,(951) 413-3880,(951) 413-3897,http://www.moval.org/mv-library,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"209,426","48,194","7,549",1,2,0,3,"25,128","$3,105,682 ","$10,173 ","$41,160 ","$30,030 ","$3,187,045 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$46,736 ","$35,879 ","$82,615 ","$160,701 ",$22 ,"$160,723 ","$81,851 ","$50,461 ","$293,035 ","$2,811,395 ","$3,187,045 ",$0 ,33,3,3,22.1,25.1,0.14,"34,467","5,929","56,947",935,"8,150",494,"66,526",2,"135,417",329,0,7,5,12,"6,680","57,888",Annual Count,"43,775",Annual Estimate Based on Typical Week(s),Yes,$0.50 ,$0.25 ,$0.25 ,No,Yes,"70,766","6,585","14,213","9,162",886,"137,270","3,889","3,700",,"7,589","144,859",No,363,"4,450",203,"2,697",,,,,-1,,,,,,,,-1,,,,,61,0,61,,765,0,765,,99,0,99,,988,0,988,0,0,,,0,0,,,18,"3,988",237,"5,513",-1,Yes,"13,554",Annual Count,-1,"80,228",Annual Count,49,9,55,"Unicorn coloring sheets, Asian American history crosswords, Kumihimo bracelet-making kits, decorate a coaster, paper ball launchers, rainbow coloring sheets, wolf-sheep craft, caterpillar craft, butterfly craft.",CA0200,20-21
MOUNTAIN VIEW PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,585 FRANKLIN ST.,MOUNTAIN VIEW,94041,1998,(650) 903-6887,(650) 903-6887,http://library.mountainview.gov,12,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"82,814","57,946","3,652",1,0,1,2,"59,997","$6,778,953 ",$0 ,$0 ,"$24,574 ","$6,803,527 ","$45,887 ",$0 ,$0 ,$0 ,"$45,887 ","$2,992,502 ","$1,565,365 ","$4,557,867 ","$229,776 ","$14,690 ","$244,466 ","$342,477 ","$66,898 ","$653,841 ","$208,671 ","$5,420,379 ",$0 ,54,15.25,15.25,18.75,34,0,"97,687","13,283","225,292","24,364","23,139",0,"272,795",111,"500,897","378,022","44,716",46,5,51,258,"74,328",Annual Count,"4,190",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"320,312","13,356","13,122","8,124",0,"515,910","225,961","61,444",,"287,405","803,315",Yes,331,"16,207",116,"12,104",,,,,,,,,,,,,,,,,,48,0,48,,702,0,702,,167,0,167,,"3,401",0,"3,401",,0,0,0,,0,0,0,0,0,12,"1,160",449,No,924,Annual Count,"312,501",-1,,33,2,390,Two scavenger hunt mysteries located within proximity of the library supporting outside and unplugged type scavenger hunts with clues and extra puzzle items for school aged children.,CA0076,20-21
MURRIETA PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,8 TOWN SQUARE,MURRIETA,92562,9172,(951) 304-2665,(951) 304-2665,http://www.murrietalibrary.info,28,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"115,172","30,977","8,816",1,0,0,1,"25,000","$2,289,612 ","$16,000 ","$13,000 ","$68,305 ","$2,386,917 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$841,029 ","$769,461 ","$1,610,490 ","$89,300 ","$4,300 ","$93,600 ","$10,980 ","$10,420 ","$115,000 ","$938,897 ","$2,664,387 ",$0 ,26,5,5,13.5,18.5,1,"27,801","4,746","73,688","4,955","11,345",232,"90,220",4,"93,184","2,167",0,39,5,44,504,"60,034",Annual Count,"21,777",Annual Count,Yes,$0.25 ,$0.25 ,$0.10 ,No,No,"60,171",797,"14,489","23,305",-1,"121,732",-1,-1,,,"121,732",No,135,"32,527",82,"30,296",64,64,,,"28,458","28,458",,,18,18,,,"1,838","1,838",,,14,14,,,295,295,,,39,39,,,"1,936","1,936",,,0,0,,,0,0,,,0,0,172,"36,340",-1,Yes,-1,,-1,-1,,23,-1,"4,154",STEAM and craft kits,CA0202,20-21
NAPA COUNTY LIBRARY,Napa,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,NorthNet Library System,580 COOMBS ST.,NAPA,94559,3396,(707) 253-4241,(707) 253-4235,https://www.countyofnapa.org/library/,787,No,Yes,Yes,Yes,Yes,No,Yes,Yes,"131,567","47,780","22,935",1,3,0,4,"47,110","$10,942,042 ","$168,082 ","$9,132 ","$1,151,821 ","$12,271,077 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,718,201 ","$1,844,340 ","$5,562,541 ","$258,958 ","$24,672 ","$283,630 ","$202,039 ","$246,698 ","$732,367 ","$2,066,901 ","$8,361,809 ","$24,531 ",88.8,10,10,42.8,52.8,1.83,"58,207","7,375","151,057","11,159","22,331","48,935","233,482",544,"633,398","454,348","51,985",34,4,38,"7,600","98,261",Annual Count,-1,Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,Yes,"153,982","14,847","6,924","8,041","276,627","388,698","180,472",-1,,"180,472","569,170",No,217,"18,484",141,"16,903",97,97,,,"12,241","12,241",,,44,44,,,"4,662","4,662",,,2,2,,,13,13,,,74,74,,,"1,568","1,568",,,0,0,,,0,0,,,-1,-1,-1,-1,-1,No,"12,113",Annual Count,"162,894","15,945",Annual Count,29,20,"2,395",(July 7)BEACHES (PAPER WEAVING) (July 14) BUGS & WORMS (COFFEE FILTER BUTTERFLY) (July 21) (PAPER FOLDING SURPRISE) August (Straw Rockets) September (Paper bird) September (Toilet paper tube fish lantern) October 3 (Mini Catapult) October 17(Caterpillar Paper Chain)November (Frog Pop-Up Card) November (Origami Animals) December (Scratch Art) December(Holiday cards) January (Egypt) January (France) February (Valentine's Day card March (Agamograph Art) April (Earth Day) May (Craft stick frame) June (Paper weaving) June (Tissue Paper Suncatcher) ,CA0077,20-21
NATIONAL CITY PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1401 NATIONAL CITY BLVD.,NATIONAL CITY,91950,3314,(619) 470-5800,(619) 470-5830,http://www.nationalcityca.gov/government/library,9,Yes,Yes,Yes,Yes,Yes,No,No,No,"62,749","22,491","3,384",1,0,0,1,"49,508","$1,912,873 ","$42,192 ","$103,500 ","$64,468 ","$2,123,033 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$463,481 ","$207,628 ","$671,109 ","$76,378 ","$5,500 ","$81,878 ","$58,000 ","$2,000 ","$141,878 ","$1,310,046 ","$2,123,033 ",$0 ,27,3.13,3.63,12.03,15.66,0.65,"79,433","7,272","201,093","3,766","24,160",0,"229,019",,"741,639","380,000","21,939",35,4,39,858,"18,624",Annual Count,"10,744",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"3,044",371,0,0,0,"10,379","5,824","16,396",,"22,220","32,599",Yes,372,868,6,47,,,,,,,,,,,,,,,,,,4,1,3,,124,9,115,,362,,362,,697,,697,,,,,,,,,0,0,164,"8,323",-1,Yes,"4,398",Annual Count,"51,340","6,246",Annual Count,123,9,"8,442","Grab & Go craft kits, Booktacular Drive-thru, Dial-a-story, 16 Weeks of STEAM activities, worksheets, SRP take-home activities",CA0078,20-21
NEVADA COUNTY LIBRARY,Nevada,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,980 HELLING WAY,NEVADA CITY,95959,8619,(530) 265-1407,(530) 265-7050,http://mynevadacounty.com/library,978,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"97,466","52,631","13,365",1,5,0,6,"37,388","$5,926,034 ","$70,895 ","$67,157 ","$254,983 ","$6,319,069 ","$5,161,276 ","$67,201 ","$10,157 ",$0 ,"$5,238,634 ","$1,530,293 ","$969,647 ","$2,499,940 ","$94,002 ","$17,346 ","$111,348 ","$57,897 ",$0 ,"$169,245 ","$1,698,773 ","$4,367,958 ","$83,242 ",34.25,5,8,26.25,34.25,0,"41,871","6,941","108,188","6,563","12,272",0,"127,023",170,"159,470",-1,-1,8,4,12,"7,131","19,961",Annual Count,-1,Annual Count,No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,-1,-1,112,103,-1,"330,964",-1,-1,,,"330,964",No,900,"14,510",535,"8,261",74,74,,,701,701,,,461,461,,,"7,560","7,560",,,11,11,,,371,371,,,318,318,,,"4,017","4,017",,,36,36,,,"1,861","1,861",,,-1,-1,-1,-1,-1,Yes,232,Annual Count,-1,-1,Annual Count,91,636,"9,086",Self-directed activities typically included arts and crafts bags for children to complete within their homes. ,CA0079,20-21
NEWPORT BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,1000 AVOCADO AVE.,NEWPORT BEACH,92660,7915,(949) 717-3800,(949) 717-3860,http://www.newportbeachlibrary.org,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"85,865","110,962","6,816",1,3,0,4,"96,106","$9,312,082 ","$45,000 ","$12,000 ","$360,320 ","$9,729,402 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,500,711 ","$2,224,321 ","$5,725,032 ","$230,285 ","$36,075 ","$266,360 ","$447,852 ","$38,573 ","$752,785 ","$2,322,225 ","$8,800,042 ",$0 ,66,15,15,34.73,49.73,3.3,"76,833","6,252","220,964","20,648","33,037","5,367","280,016",363,"27,108","10,743","27,195",34,3,37,"3,375","117,353",Annual Count,"78,088",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,Yes,"421,941","12,908",327,76,"9,503","821,250","222,379","792,732",,"1,015,111","1,836,361",Yes,427,"6,821",1,4,,0,0,0,,0,0,0,,1,0,1,,4,0,4,,11,0,11,,186,0,186,,415,0,415,,"6,631",0,"6,631",,0,0,0,,0,0,0,0,0,91,"13,001",266,Yes,"13,422",Annual Count,"839,334","42,795",Annual Count,95,54,"4,642","Grab 'n Go Crafts, Scavenger Hunts, Poetry Party Submissions",CA0080,20-21
OAKLAND PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,125 14TH ST.,OAKLAND,94612,4310,(510) 238-3281,(510) 238-3138,http://oaklandlibrary.org,53,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"459,396","402,768","74,127",1,17,0,18,"207,510","$43,377,948 ","$58,600 ",$0 ,"$173,215 ","$43,609,763 ","$800,000 ",$0 ,$0 ,$0 ,"$800,000 ","$17,261,557 ","$12,684,051 ","$29,945,608 ","$617,825 ","$100,201 ","$718,026 ","$1,335,734 ","$179,115 ","$2,232,875 ","$6,957,296 ","$39,135,779 ","$233,994 ",360,95.8,95.8,168,263.8,0.4,"329,034","36,968","922,792","39,706","78,244","8,306","1,049,048","7,976","717,582","439,096","22,850",51,4,55,"5,586","35,488",Annual Count,"21,670",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"711,576","82,997","12,248","10,540","26,237","1,289,555","643,595","514,685",,"1,158,280","2,447,835",Yes,108,"2,906",34,783,,15,0,15,,339,0,339,,19,1,18,,444,94,350,,38,8,30,,196,15,181,,34,18,16,,"1,440","1,269",171,,2,0,2,,487,0,487,8,164,382,"30,104","4,961",No,"8,696",Annual Count,"1,405,324","11,464",Annual Count,266,3,"1,200","Craft kits for youth to take home, science kits for youth to take home, social media challenges",CA0081,20-21
OCEANSIDE PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,330 N. COAST HIGHWAY,OCEANSIDE,92054,2824,(760) 435-5560,(760) 435-5600,http://www.oceansidepubliclibrary.org,44,Yes,Yes,Yes,Yes,Yes,No,No,No,"176,754","119,944","31,238",1,2,2,5,"46,792","$5,445,345 ","$277,519 ","$23,234 ","$141,582 ","$5,887,680 ","$500,000 ",$0 ,$0 ,$0 ,"$500,000 ","$2,471,278 ","$1,061,387 ","$3,532,665 ","$220,573 ","$11,200 ","$231,773 ","$123,400 ","$21,500 ","$376,673 ","$1,989,342 ","$5,898,680 ",$0 ,61,12,12,30.45,42.45,2.85,"76,507","12,206","148,232","5,340","8,337",212,"162,121",,"590,357","430,337","21,678",7,0,7,"3,652","88,489",Annual Count,"10,815",Annual Count,Yes,$0.25 ,$0.25 ,$0.10 ,No,No,"110,430","4,047","2,303","7,376",282,"305,983","77,954","7,002",,"84,956","390,939",No,482,"6,655",220,"3,487",116,116,,,"1,932","1,932",,,104,104,,,"1,555","1,555",,,48,48,,,446,446,,,214,214,,,"2,722","2,722",,,0,0,,,0,0,,,8,135,-1,-1,-1,Yes,"13,066",Annual Count,-1,-1,,72,-1,-1,-1,CA0082,20-21
ONTARIO CITY LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,215 EAST C STREET,ONTARIO,91764,4111,(909) 395-2216,(909) 395-2205,http://www.ontariocitylibrary.org,50,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"182,004","115,775","9,396",1,1,0,2,"72,800","$5,416,955 ","$74,430 ",$0 ,$0 ,"$5,491,385 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,673,728 ","$922,622 ","$3,596,350 ","$245,400 ","$16,300 ","$261,700 ","$44,000 ","$54,000 ","$359,700 ","$1,458,905 ","$5,414,955 ",$0 ,57,11,11,27,38,0,"93,071","25,429","232,148","7,179","25,402","2,948","267,677",167,"32,286","1,318",0,11,4,15,"3,996","59,202",Annual Count,"30,624",Annual Count,Yes,$0.15 ,$0.15 ,$0.15 ,No,No,"88,348","7,230",210,53,0,"169,358","65,440","116,245",,"181,685","351,043",Yes,47,"8,111",42,"3,636",,30,0,30,,"3,357",0,"3,357",,12,11,1,,279,275,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,5,5,0,,"4,475","4,475",0,16,108,97,"8,363",0,Yes,"5,154",Annual Count,-1,-1,,77,13,"1,294","Craft kits, Beanstack reading challenges, Blind Date with a Book program, Halloween Candy Bracket program, Pet Week Story Walk",CA0083,20-21
ORANGE COUNTY PUBLIC LIBRARIES,Orange,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Santiago,1501 E. ST. ANDREW PLACE,SANTA ANA,92705,4930,(714) 566-3000,(714) 566-3000,http://www.ocpl.org/,556,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"1,614,627","393,620","75,387",0,32,0,32,"393,569","$63,864,061 ","$277,875 ","$172,738 ","$1,309,334 ","$65,624,008 ",$0 ,$0 ,$0 ,"$70,339 ","$70,339 ","$18,975,584 ","$10,309,481 ","$29,285,065 ","$3,013,632 ","$199,197 ","$3,212,829 ","$1,666,511 ","$715,899 ","$5,595,239 ","$18,686,095 ","$53,566,399 ","$6,494,620 ",377,116,119,259,378,206,"614,120","74,550","1,244,156","63,657","125,408",428,"1,433,649","2,604","280,912","95,996","11,119",30,6,36,"47,384","1,057,318",Annual Count,"492,429",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"2,570,268","156,240",28,46,"4,464","4,426,428","1,636,316","768,866",,"2,405,182","6,831,610",No,"1,760","71,966",447,"27,053",139,139,,,"2,975","2,975",,,308,308,,,"24,078","24,078",,,111,111,,,"1,836","1,836",,,674,674,,,"8,482","8,482",,,528,528,,,"34,595","34,595",,,36,912,0,"105,500",0,Yes,"39,684",Annual Count,"3,013,844","1,737,343",Annual Count,402,"35,183",498,Passive Programs.,CA0084,20-21
ORANGE PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,407 E CHAPMAN AVE,ORANGE,92866,1594,(714) 288-2471,(714) 288-2410,http://www.cityoforange.org/library,24,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"137,366","61,144","9,200",1,2,0,3,"62,261","$5,690,896 ","$165,802 ",$0 ,"$32,671 ","$5,889,369 ","$35,000 ","$1,766 ",$0 ,"$10,212 ","$46,978 ","$2,294,826 ","$1,377,665 ","$3,672,491 ","$93,122 ","$6,501 ","$99,623 ","$45,700 ","$38,260 ","$183,583 ","$1,181,151 ","$5,037,225 ","$33,317 ",55,13,13,27.45,40.45,1.13,"63,789","8,905","132,070","12,356","17,566",119,"162,111",64,"3,837",449,"75,951",6,5,11,948,"76,152",Annual Count,"10,470",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"109,570","3,940",4,60,0,"190,776","111,350","154,826",,"266,176","456,952",Yes,90,"1,985",46,"1,502",,2,0,2,,67,0,67,,44,37,7,,"1,435","1,362",73,,0,0,0,,0,0,0,,44,2,42,,483,40,443,,0,0,0,,0,0,0,0,0,62,"5,439",0,Yes,"8,698",Annual Count,-1,"61,357",Annual Count,92,22,"2,420","various Take & Make, Reading Club, STEM, Self-guided story walk",CA0085,20-21
