FiscalYear,Location,County,LibraryType,GeographicCode,InterlibraryRelationshipcode,LegalBasisCode,CLSASystemLibrary,StreetAddress,City,Zip,Zip4,LibrarysWebAddress,PopulationofTheLegalServiceArea,RegisteredUsersasofJune30,ChildrenBorrowers,NumofCentralLibraries,NumofBranchLibraries,NumofBookmobiles,NumofOutlets,LibraryVisits,HoursOpenAllOutlets,Totalpersonsemployed,NumofLibrarianFTEs,FTEAllotherpaidstaff,NumofALAMLSLibrarianFTEs,TotalOperatingIncome,LocalGovernmentIncome,StateIncome,FederalIncome,CapitalOutlayIncomefromLocalSources,CapitalOutlayIncomefromStateSources,CapitalOutlayIncomefromFederalSources,CapitalOutlayIncomefromOtherSources,TotalCapitalOutlayIncome,OtherOperatingIncome,TotalOperatingExpenditures,TotalCollectionExpenditures,PrintMaterialsExpenditures,PrintSerialSubscriptionExpenditures,ElectronicMaterialsExpenditures,OtherMaterialsExpenditures,TotalPrintMaterialsExpenditures,SalaryWagesExpenditures,EmployeeBenefitsExpenditures,TotalStaffExpenditures,TotalCapitalExpenditures,AllOtherOperatingExpenditures,BooksChildrenHeld,BooksYoungAdultHeld,NumofPhysicalAudioMaterials,NumofPhysicalVideoMaterials,NumofCurrentSerialSubscriptions,NumofElectronicBooks,NumofElectronicCollections,TotalPrintMaterialsHeld,NumofDownloadableAudioMaterials,NumofDownloadableVideoMaterials,CirculationofNonEnglishMaterials,CirculationofElectronicMaterials,ILLloanstoothers,ILLloansreceived,ReferenceQuestions,NumofPrograms,NumofYoungAdultPrograms,YoungAdultProgramAttendance,ChildrensProgramAttendance,TotalProgramAttendance,NumofAdultPrograms,AdultProgramAttendance,CIPACompliant,AnnualUsesofPublicInternetComputers,NumofInternetTerminals,Websitevisits,FSCSID,NumofChildrensPrograms
18-19,KINGS COUNTY LIBRARY,Kings,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,401 N. DOUTY ST.,HANFORD,93230,3908,http://www.kingscountylibrary.org/,"153,710","26,912","4,875",1,6,0,7,"137,020","12,584",17.51,5,12.51,3,"$2,524,640 ","$2,447,749 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$76,891 ","$2,458,986 ","$174,350 ","$110,000 ","$7,000 ","$43,350 ","$14,000 ","$117,000 ","$1,025,531 ","$360,836 ","$1,386,367 ",$0 ,"$898,269 ","53,534","12,015","2,663","12,213",149,"82,254",34,"169,408",781,"5,176","3,663","20,572","30,683","22,688","5,973",239,7,244,"3,948","5,759",6,"1,567",Yes,"32,558",82,"165,641",CA0053,226
18-19,LA COUNTY LIBRARY,Los Angeles,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Southern California Library Cooperative,7400 E. IMPERIAL HIGHWAY,DOWNEY,90241,3375,http://www.lacountylibrary.org,"3,382,355","2,498,788","509,308",0,85,3,88,"9,754,089","216,854","1,560.00",282,997,281,"$165,278,712 ","$146,220,487 ","$229,375 ","$39,521 ","$380,000 ",$0 ,$0 ,"$3,510,000 ","$3,890,000 ","$18,789,329 ","$153,478,913 ","$12,304,531 ","$6,651,341 ",$0 ,"$4,391,973 ","$1,261,217 ","$6,651,341 ","$64,686,829 ","$38,742,242 ","$103,429,071 ","$3,977,874 ","$37,745,311 ","2,132,475","250,572","211,571","558,099","4,926","525,682",43,"4,272,527","241,977","31,727","500,890","2,345,072",679,664,"1,135,805","28,203","3,164","28,678","422,716","520,280","6,627","68,886",Yes,"1,477,261","1,793","1,408,411",CA0062,"18,412"
18-19,LAKE COUNTY LIBRARY,Lake,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1425 N. HIGH ST,LAKEPORT,95453,3800,http://library.lakecountyca.gov,"65,071","44,700","4,375",1,3,0,4,,"6,080",18,1,10.05,1,"$1,092,790 ","$907,418 ","$92,643 ","$5,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$87,029 ","$1,087,612 ","$76,534 ","$56,082 ","$3,181 ","$16,267 ","$1,004 ","$59,263 ","$420,114 ","$188,593 ","$608,707 ",$0 ,"$402,371 ","39,606","4,205","3,758","7,893",44,"420,669",9,"135,442","343,471","16,185",941,"16,185","97,858","43,715","1,560",648,16,83,"11,338","12,503",207,"1,082",Yes,"27,441",31,"51,503",CA0054,425
18-19,LARKSPUR PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,400 MAGNOLIA AVE,LARKSPUR,94939,2035,http://www.larkspurlibrary.org,"12,578","6,357",738,1,0,0,1,,"2,500",18,3.5,3.75,3.5,"$916,800 ","$876,277 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,"$18,000 ","$18,000 ","$39,523 ","$872,756 ","$82,391 ","$45,573 ","$5,674 ","$24,178 ","$6,966 ","$51,247 ","$470,717 ","$139,907 ","$610,624 ","$18,000 ","$179,741 ","18,239","1,115","1,394","3,667",45,"156,474",27,"46,718","11,897",100,458,"17,222","22,940","14,927","11,865",426,5,32,"9,307","11,648",112,"2,309",No,"2,996",4,"19,393",CA0055,309
18-19,LASSEN LIBRARY DISTRICT,Lassen,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,NorthNet Library System,1618 MAIN ST.,SUSANVILLE,96130,4515,http://www.lassenlibrary.org/,"15,008","5,317",269,1,0,0,1,"32,947","1,204",8,0.56,2.79,0,"$303,002 ","$110,338 ","$94,987 ",$0 ,$0 ,$0 ,$0 ,"$76,126 ","$76,126 ","$97,677 ","$251,928 ","$6,345 ","$6,345 ",$0 ,$0 ,$0 ,"$6,345 ","$119,437 ","$11,456 ","$130,893 ","$3,370 ","$114,690 ","13,417","2,807","2,312","1,840",36,"15,979",2,"41,667","5,913",45,52,"2,193",24,12,832,147,6,10,"1,928","2,032",74,94,No,"8,333",16,"13,705",CA0195,67
18-19,LINCOLN PUBLIC LIBRARY,Placer,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,485 TWELVE BRIDGES DRIVE,LINCOLN,95648,8823,http://www.libraryatlincoln.org,"48,277","14,721","2,692",1,0,0,1,"221,591","1,581",9,1.7,4,0.8,"$704,405 ","$639,257 ","$45,148 ",$0 ,"$123,854 ","$14,963 ",$0 ,$0 ,"$138,817 ","$20,000 ","$761,362 ","$103,510 ","$56,494 ","$5,907 ","$25,263 ","$15,846 ","$62,401 ","$284,265 ","$111,113 ","$395,378 ","$128,903 ","$262,474 ","33,726","6,022","10,728","14,236",202,"374,298",18,"88,674","439,552","49,446","1,264","30,169",0,0,"15,072",251,0,0,"8,926","9,678",27,752,No,,38,,CA0057,224
18-19,LIVERMORE PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1188 S. LIVERMORE AVE.,LIVERMORE,94550,4813,http://www.livermorelibrary.net,"91,039","69,980","13,635",1,2,0,3,"384,369","5,159",97,12.5,24.5,12.5,"$5,665,780 ","$5,555,220 ","$43,656 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$66,904 ","$5,665,780 ","$362,560 ","$185,392 ","$14,344 ","$117,977 ","$44,847 ","$199,736 ","$2,489,441 ","$1,964,690 ","$4,454,131 ",$0 ,"$849,089 ","98,540","6,491","5,598","12,062",202,"132,641",29,"209,367","2,825",0,"33,987","64,458","10,221","10,166","30,056","1,426",74,"1,795","39,089","47,099",454,"6,215",No,"84,525",80,"152,906",CA0058,898
18-19,LODI PUBLIC LIBRARY,San Joaquin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",49-99 Cooperative Library System,201 W. LOCUST STREET,LODI,95240,2013,library.lodi.gov,"68,272","40,984","10,999",1,0,0,1,"198,466","3,016",17,1.75,12,1,"$1,415,588 ","$1,337,700 ","$77,888 ",$0 ,"$100,000 ",$0 ,$0 ,$0 ,"$100,000 ",$0 ,"$1,401,859 ","$88,123 ","$63,630 ","$10,718 ","$13,316 ",$459 ,"$74,348 ","$407,538 ","$264,593 ","$672,131 ",$0 ,"$641,605 ","25,630","3,358","1,695","4,781",179,"8,525",15,"83,551","7,888",0,"2,537","7,403","2,014","1,909","8,984",741,25,286,"10,583","26,497",364,"15,628",Yes,"24,674",25,,CA0059,352
18-19,LOMPOC PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,501 E. NORTH AVE.,LOMPOC,93436,3404,http://www.cityoflompoc.com/library/,"59,978","15,104","3,350",1,1,1,3,"185,152","4,544",18,4,10,4,"$1,337,849 ","$1,252,487 ","$49,435 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$35,927 ","$1,377,858 ","$98,741 ","$69,197 ","$2,965 ","$26,579 ",$0 ,"$72,162 ","$626,374 ","$249,743 ","$876,117 ",$0 ,"$403,000 ","22,568","3,515","3,825","12,306",59,"205,271",6,"54,902","18,076","1,229","6,719","32,904","37,861","26,947","34,971",822,41,478,"17,294","19,058",85,"1,286",Yes,"41,718",43,,CA0060,696
18-19,LONG BEACH PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 PACIFIC AVE.,LONG BEACH,90822,1097,http://www.lbpl.org/,"475,013","310,511","59,409",1,11,0,12,"854,437","20,838",175,39.82,88.27,39.82,"$16,317,625 ","$14,454,197 ","$82,625 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,780,803 ","$16,072,884 ","$1,436,050 ","$789,798 ","$53,463 ","$515,797 ","$76,992 ","$843,261 ","$7,212,702 ","$3,682,660 ","$10,895,362 ","$368,577 ","$3,741,472 ","261,003","46,038","28,448","29,328",439,"14,776",34,"667,450","5,058",0,"33,099","193,077",153,26,"290,493","3,333",314,"3,140","76,769","87,586",760,"7,677",Yes,"204,857",333,"509,419",CA0061,"2,259"
18-19,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER,Placer,,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",,6050 LIBRARY DR.,LOOMIS,95650,NA,https://loomislibrary.org/,"6,887","1,624",413,1,0,0,1,"21,931","1,751",4,1,1.5,1,"$254,358 ","$254,358 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$230,206 ","$23,734 ","$13,392 ",$556 ,"$6,300 ","$3,486 ","$13,948 ","$77,193 ","$15,081 ","$92,274 ","$5,452 ","$114,198 ","5,592",572,991,932,17,0,7,"11,640",0,0,,0,0,0,"2,704",274,29,371,"2,258","4,569",131,"1,940",Yes,696,5,,CA0270,114
18-19,LOS ANGELES PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,630 W. FIFTH ST.,LOS ANGELES,90071,2097,http://www.lapl.org,"4,040,079","2,338,648","860,866",1,72,0,73,"10,214,070","192,842","1,197.00",399,612,399,"$182,986,431 ","$178,533,355 ","$247,752 ","$12,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,192,824 ","$182,986,431 ","$15,296,013 ","$5,553,611 ","$594,060 ","$7,208,503 ","$1,939,839 ","$6,147,671 ","$74,877,493 ","$36,087,762 ","$110,965,255 ",$0 ,"$56,725,163 ","1,551,826","470,709","235,960","313,260","4,946","425,362",217,"5,826,763","150,575","9,725","533,459","8,001,528","1,498",201,"1,794,116","23,487","3,663","44,315","195,259","379,574","13,091","140,000",No,"7,090,245","1,494","12,396,327",CA0063,"6,733"
18-19,LOS GATOS LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,100 VILLA AVENUE,LOS GATOS,95030,6981,http://library.losgatosca.gov,"30,988","28,526","8,263",1,0,0,1,"266,573","2,646",36,6.14,10.06,6,"$2,653,438 ","$2,556,278 ","$8,160 ","$6,000 ",$0 ,$0 ,$0 ,"$21,400 ","$21,400 ","$83,000 ","$2,499,733 ","$201,793 ","$97,663 ","$10,214 ","$51,602 ","$42,314 ","$107,877 ","$1,293,230 ","$450,870 ","$1,744,100 ","$21,400 ","$553,840 ","36,473","1,967","11,567","6,976",104,"454,716",12,"84,981","340,582","15,615","1,272","57,103",0,0,"27,438",810,29,299,"20,971","24,764",353,"3,494",No,"34,406",48,"159,052",CA0164,428
18-19,MADERA COUNTY LIBRARY,Madera,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,121 N. G ST.,MADERA,93637,3592,www.maderalibrary.org,"159,536","19,779","4,012",1,4,0,5,"143,808","7,717",25,2,18,2,"$1,634,137 ","$1,570,804 ",$0 ,"$14,304 ","$1,659,000 ",$0 ,$0 ,$0 ,"$1,659,000 ","$49,029 ","$1,566,640 ","$94,845 ","$53,685 ","$3,042 ","$19,500 ","$18,618 ","$56,727 ","$798,562 ","$334,644 ","$1,133,206 ","$1,659,000 ","$338,589 ","72,222","8,510","6,537","9,419",135,"7,839",39,"190,204",664,0,"1,962",,"51,811","29,410","23,704",618,22,578,"9,262","11,682",240,"1,842",Yes,"35,359",34,"175,876",CA0064,356
18-19,MARIN COUNTY FREE LIBRARY,Marin,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,"3501 CIVIC CENTER DR, RM 414",SAN RAFAEL,94903,4189,http://www.marinlibrary.org,"143,752","84,267","13,740",0,10,1,11,"1,110,733","22,965",108,28,62.7,28,"$16,876,762 ","$16,088,042 ",$0 ,"$15,000 ","$500,000 ",$0 ,$0 ,$0 ,"$500,000 ","$773,720 ","$15,755,493 ","$846,036 ","$484,373 ","$55,632 ","$190,810 ","$115,221 ","$540,005 ","$6,065,289 ","$3,392,105 ","$9,457,394 ","$791,021 ","$5,452,063 ","152,185","18,195","28,998","46,557",710,"156,747",60,"342,223","11,897",100,"28,692","235,345","63,542","134,549","124,000","2,275",386,"6,648","32,875","51,217",884,"11,694",No,"169,392",159,"507,877",CA0065,"1,005"
18-19,MARIPOSA COUNTY LIBRARY,Mariposa,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,4978 10TH ST.,MARIPOSA,95338,106,http://www.mariposalibrary.org/home.html,"18,068","5,002",585,1,4,0,5,"114,000","4,954",23,1,3,1,"$759,079 ","$692,079 ","$43,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$24,000 ","$579,660 ","$83,934 ","$56,434 ","$2,500 ","$12,000 ","$13,000 ","$58,934 ","$341,833 ","$135,893 ","$477,726 ",$0 ,"$18,000 ","27,192","4,367","4,835","8,531",97,"3,469",34,"48,443","1,675",0,272,,"25,913","24,911","6,430",184,42,258,"1,530","2,024",40,236,Yes,"89,000",30,,CA0192,102
18-19,MENDOCINO COUNTY LIBRARY,Mendocino,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,880 N. BUSH ST.,UKIAH,95482,3919,https://www.mendolibrary.org,"89,009","51,500","8,413",1,4,1,6,"451,329","11,296",34.45,10.8,23.65,7.8,"$3,453,923 ","$3,239,524 ","$6,901 ","$104,448 ","$190,139 ",$0 ,$0 ,$0 ,"$190,139 ","$103,050 ","$3,777,669 ","$463,717 ","$224,745 ","$18,254 ","$134,442 ","$86,276 ","$242,999 ","$1,474,825 ","$753,885 ","$2,228,710 ","$190,139 ","$1,085,242 ","39,652","7,455","9,290","22,844",169,"109,868",15,"126,474","33,829","51,113","2,543","77,449","126,329","104,229","19,188","1,921",209,"1,479","14,816","28,160",884,"11,865",No,"42,364",50,"183,256",CA0066,828
18-19,MENLO PARK PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,800 ALMA ST.,MENLO PARK,94025,3460,http://menlopark.org/library,"35,790","26,377","3,201",1,1,0,2,"281,533","5,037",48,8.25,16.75,8.25,"$3,566,477 ","$3,389,924 ","$41,553 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$135,000 ","$3,502,512 ","$410,695 ","$264,500 ","$24,070 ","$44,461 ","$77,664 ","$288,570 ","$1,893,124 ","$602,873 ","$2,495,997 ",$0 ,"$595,820 ","53,381","5,387","11,849","16,118",189,"155,894",35,"129,275","16,418","17,057","10,381","81,697","49,003","61,628","24,899",742,23,810,"20,498","24,167",150,"2,859",No,"24,108",22,"100,868",CA0067,569
18-19,MERCED COUNTY LIBRARY,Merced,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2100 O ST.,MERCED,95340,3637,http://www.mercedcountylibrary.org,"282,928","36,801","12,773",1,11,1,13,"321,828","16,727",44,5,19,5,"$3,797,251 ","$3,423,623 ","$102,241 ","$13,631 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$257,756 ","$3,359,431 ","$171,295 ","$132,202 ","$9,203 ","$29,890 ",$0 ,"$141,405 ","$1,306,514 ","$1,126,659 ","$2,433,173 ","$30,898 ","$754,963 ","65,918","8,151","4,006","5,749",110,221,12,"232,687",113,0,"8,996",342,"41,165","49,570","72,458","2,100",289,"2,933","19,693","24,987",415,"2,361",Yes,"32,278",64,"150,016",CA0068,"1,396"
18-19,MILL VALLEY PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,375 THROCKMORTON AVE.,MILL VALLEY,94941,2698,http://millvalleylibrary.org,"14,675","9,900","1,543",1,0,0,1,"226,956","3,065",43,8.18,11.83,7.18,"$2,655,132 ","$2,402,089 ","$10,119 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$242,924 ","$2,655,132 ","$209,428 ","$120,905 ","$11,973 ","$58,302 ","$18,248 ","$132,878 ","$1,314,943 ","$445,860 ","$1,760,803 ",$0 ,"$684,901 ","26,260","2,562","6,976","6,383",336,"156,474",52,"100,748","11,897","23,062","2,141","24,089","45,551","39,724","22,990","1,399",107,"2,036","24,905","38,724",585,"11,783",No,"12,561",14,"118,739",CA0069,707
18-19,MISSION VIEJO LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,100 CIVIC CENTER,MISSION VIEJO,92691,5518,http://www.cmvl.org,"96,434","151,356","7,920",1,0,0,1,"771,773","3,021",76,13,23,12.5,"$3,531,388 ","$3,049,003 ","$16,965 ","$44,650 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$420,770 ","$3,806,260 ","$332,875 ","$170,874 ","$11,000 ","$128,501 ","$22,500 ","$181,874 ","$1,909,055 ","$736,631 ","$2,645,686 ",$0 ,"$827,699 ","70,818","5,804","6,065","9,813",220,"12,750",21,"153,373","4,389","15,811","15,842","86,961",215,34,"76,453",452,29,555,"14,461","25,006",50,"9,990",Yes,"27,625",30,"192,956",CA0198,373
18-19,MODOC COUNTY LIBRARY,Modoc,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,212 W. THIRD ST.,ALTURAS,96101,3913,http://modoccountylibrary.org,"9,602","6,327",518,1,3,0,4,"13,500","2,236",8,1,3,1,"$260,368 ","$239,000 ","$4,368 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$17,000 ","$262,687 ","$5,436 ","$3,307 ","$1,529 ",$600 ,$0 ,"$4,836 ","$123,352 ","$47,105 ","$170,457 ",$0 ,"$86,794 ","16,830","2,063","2,576","5,687",43,"16,540",1,"66,047","6,014",0,14,,0,0,750,32,0,0,297,297,0,0,No,"2,344",15,,CA0070,32
18-19,MONO COUNTY FREE LIBRARY,Mono,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,400 SIERRA PARK RD.,MAMMOTH LAKES,93546,1120,http://www.monocolibraries.org,"13,616","15,324","1,426",0,7,0,7,"109,558","9,698",19,3.93,4.63,1.75,"$1,185,791 ","$1,051,943 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$133,848 ","$1,068,136 ","$60,133 ","$53,291 ","$2,405 ","$4,437 ",$0 ,"$55,696 ","$649,814 ","$205,643 ","$855,457 ",$0 ,"$152,546 ","23,535","15,150","6,211","14,391",112,"8,921",6,"79,233","4,418",0,452,"6,363",0,12,719,"1,048",,,"10,608","13,117",223,"2,509",Yes,"26,743",50,,CA0071,825
18-19,MONROVIA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,321 S. MYRTLE AVE.,MONROVIA,91016,2848,http://www.monroviapubliclibrary.org,"38,529","73,779","21,334",1,0,1,2,"177,335","2,640",33,9,11.25,6.5,"$2,492,557 ","$2,276,559 ","$104,484 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$111,514 ","$2,442,678 ","$141,066 ","$102,768 ","$4,398 ","$25,040 ","$8,860 ","$107,166 ","$1,133,669 ","$297,737 ","$1,431,406 ",$0 ,"$870,206 ","33,643","2,825","2,369","1,748",69,"12,888",11,"95,422","4,510",262,"8,733","10,847",45,2,"42,724",512,52,874,"14,797","18,583",198,"2,912",No,"20,235",38,"120,036",CA0072,262
18-19,MONTEREY COUNTY FREE LIBRARIES,Monterey,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,188 SEASIDE CIRCLE,MARINA,93933,2500,http://www.montereycountyfreelibraries.org,"234,299","124,584","15,499",0,15,3,18,"684,329","25,543",90,17,53,11,"$9,640,080 ","$9,341,359 ","$165,165 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$133,556 ","$8,922,421 ","$478,159 ","$213,516 ","$10,909 ","$156,323 ","$97,411 ","$224,425 ","$3,509,522 ","$1,893,898 ","$5,403,420 ","$237,100 ","$3,040,842 ","124,214","17,928","9,696","21,215",217,"80,201",32,"341,185","10,699",0,"26,032","35,795","1,891","1,188","91,549","1,646",229,"4,717","31,964","45,177",409,"8,496",Yes,"122,726",226,"222,337",CA0073,"1,008"
18-19,MONTEREY PARK BRUGGEMEYER LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,318 S. RAMONA AVENUE,MONTEREY PARK,91754,3399,www.montereypark.ca.gov/Library,"61,828","42,075","6,607",1,0,0,1,"273,545","2,083",42,7.5,17.19,6.5,"$2,680,952 ","$2,567,472 ","$43,064 ","$54,742 ",$0 ,$0 ,$0 ,"$15,000 ","$15,000 ","$15,674 ","$2,725,980 ","$88,066 ","$72,488 ","$6,405 ","$6,599 ","$2,574 ","$78,893 ","$1,447,609 ","$797,285 ","$2,244,894 ","$15,000 ","$393,020 ","50,481","3,771","4,476","6,098",103,"13,414",8,"124,072","4,557",262,"20,307","4,392",16,7,"12,880","1,161",71,"1,721","26,295","41,357",714,"13,341",Yes,"69,380",61,"63,669",CA0075,376
18-19,MONTEREY PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,625 PACIFIC ST.,MONTEREY,93940,2866,https://www.monterey.org/library,"28,448","31,281","5,899",1,0,1,2,"251,771","3,132",43,9.02,14.79,8.82,"$3,255,575 ","$3,092,706 ","$6,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$156,869 ","$3,208,731 ","$170,392 ","$98,937 ","$4,659 ","$44,146 ","$22,650 ","$103,596 ","$1,607,962 ","$711,055 ","$2,319,017 ","$11,488 ","$719,322 ","27,833","3,849","5,086","8,863",64,"348,366",34,"91,927","80,851","15,566","3,381","37,884","54,861","77,929","29,620",607,135,"1,967","12,624","17,148",159,"2,557",No,"28,187",28,"123,281",CA0074,313
18-19,MOORPARK CITY LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,699 MOORPARK AVENUE,MOORPARK,93021,1115,http://www.moorparklibrary.org,"37,020","12,500","1,738",1,0,0,1,"76,134","2,984",9,3,4.5,3,"$1,052,500 ","$1,052,500 ",$0 ,$0 ,"$88,692 ",$0 ,$0 ,$0 ,"$88,692 ",$0 ,"$1,052,500 ","$65,474 ","$36,466 ","$2,894 ","$14,996 ","$11,118 ","$39,360 ","$275,178 ","$97,984 ","$373,162 ",$0 ,"$613,864 ","17,458","4,748","2,113","5,915",49,931,4,"39,395",161,"22,786","1,752","2,884","11,603","5,945",,508,225,"1,451","8,516","11,137",54,"1,170",No,"8,836",16,"22,474",CA0208,229
18-19,MORENO VALLEY PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,25480 ALESSANDRO BLVD,MORENO VALLEY,92553,4368,http://www.moval.org/mv-library,"208,297","74,527","23,865",1,1,0,2,"269,239","5,554",27,2,17.4,2,"$2,288,351 ","$2,226,782 ","$61,569 ",,,,,,,,"$2,348,040 ","$258,065 ","$144,879 ","$2,603 ","$47,615 ","$62,968 ","$147,482 ","$45,632 ","$29,519 ","$75,151 ","$22,416 ","$2,014,824 ","25,242","5,807","1,760","10,364",15,"107,699",10,"52,321",0,0,"16,584",504,"14,435","13,340","50,801",699,59,647,"11,664","14,237",209,"1,926",Yes,"44,734",39,,CA0200,431
18-19,MOUNTAIN VIEW PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,585 FRANKLIN ST.,MOUNTAIN VIEW,94041,1998,http://library.mountainview.gov,"81,992","83,964","5,775",1,0,1,2,"588,081","3,717",65.75,22.25,32.5,22.25,"$5,817,078 ","$5,614,227 ",$0 ,$0 ,"$99,353 ",$0 ,$0 ,$0 ,"$99,353 ","$202,851 ","$5,636,474 ","$609,949 ","$318,246 ","$16,076 ","$170,581 ","$105,046 ","$334,322 ","$3,135,044 ","$1,498,473 ","$4,633,517 ","$40,637 ","$393,008 ","103,655","12,798","26,920","25,123",196,"325,993",51,"244,992","290,557","15,394","39,482","108,330","16,459","12,743","50,422",840,168,"4,504","27,795","42,233",410,"9,934",No,"43,142",33,"451,885",CA0076,262
